i_doc,doc,Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,Topic 6,Topic 7,Topic 8,Topic 9,Topic 10,Topic 11,Topic 12,Topic 13,Topic 14,Topic 15,Topic 16,Topic 17,Topic 18,Topic 19,Topic 20,Topic 21,Topic 22,Topic 23,Topic 24,Topic 25,Topic 26,Topic 27,Topic 28,Topic 29,Topic 30,Topic 31,Topic 32,Topic 33,Topic 34,Topic 35,Topic 36,Topic 37,Topic 38,Topic 39
0,GTEX-PLZ4-1226-SM-2I5FE,0.0278156817466,0.0299149784822,0.0111262726986,0.0880654980582,0.000734753857458,0.00482838249187,0.00136454287814,0.0306497323397,0.00524824183898,0.309121444316,0.166684160806,0.0387320247717,0.00010496483678,0.000944683531017,0.00850215177915,0.000524824183898,0.0132255694342,0.0234071586019,0.0749448934607,0.0501731919807,0.000419859347119,0.017634092579,0.00619292537,0.00010496483678,0.0,0.0436653721003,0.0321192400546,0.0,0.000314894510339,0.000419859347119,0.000209929673559,0.000314894510339,0.000314894510339,0.0,0.00692767922746,0.0,0.00524824183898,0.0,0.0
1,GTEX-1EMGI-2726-SM-7P8S4,0.168927648579,0.0917312661499,0.0164728682171,0.078165374677,0.0135658914729,0.257751937984,0.00968992248062,0.147932816537,0.0216408268734,0.0197028423773,0.0229328165375,0.0119509043928,0.00419896640827,0.0,0.0,0.00129198966408,0.0658914728682,0.0142118863049,0.00581395348837,0.00290697674419,0.000645994832041,0.0,0.0248708010336,0.0,0.0,0.0,0.0016149870801,0.000322997416021,0.00710594315245,0.0016149870801,0.0016149870801,0.0,0.0,0.0,0.000322997416021,0.0,0.00710594315245,0.0,0.0
2,GTEX-1C2JI-0008-SM-EXOHZ,0.0339045513175,0.0265339966833,0.00239543025613,0.026902524415,0.0,0.495301271421,0.0046065966464,0.138197899392,0.0224801916344,0.000552791597568,0.044776119403,0.00976598489036,0.000184263865856,0.0,0.0,0.0,0.00331674958541,0.00331674958541,0.00700202690252,0.00239543025613,0.134881149807,0.0,0.0169522756587,0.0,0.0,0.0,0.0101345126221,0.00184263865856,0.0,0.000184263865856,0.000368527731712,0.00276395798784,0.0,0.0112400958172,0.0,0.0,0.0,0.0,0.0
3,GTEX-1S5ZU-2526-SM-E6CIF,0.00444904780961,0.00291895200207,0.00148301593654,0.00430780819661,2.35399355006e-05,0.00171841529154,0.000164779548504,0.00353099032509,0.355782585156,0.000329559097008,0.00303665167957,0.0530119347473,0.000235399355006,7.06198065017e-05,0.000306019161507,0.0,0.00082389774252,0.000965137355524,0.0116993479438,0.000470798710012,0.000541418516513,0.00750923942468,0.475624396789,0.0437607400956,0.0,0.0,0.0,0.0,0.0190202678845,0.00364869000259,0.000470798710012,2.35399355006e-05,0.0,0.0,0.000612038323015,2.35399355006e-05,0.00331913090558,0.0,0.000117699677503
4,GTEX-11EMC-3226-SM-5EGKW,0.0651750972763,0.183122568093,0.0359922178988,0.0265077821012,0.000243190661479,0.00145914396887,0.0780642023346,0.0306420233463,0.00316147859922,0.00364785992218,0.00826848249027,0.00535019455253,0.188229571984,0.00364785992218,0.0,0.00121595330739,0.256809338521,0.0732003891051,0.00778210116732,0.0,0.0034046692607,0.00170233463035,0.00632295719844,0.0,0.0,0.000243190661479,0.0109435797665,0.0,0.000486381322957,0.0,0.000972762645914,0.0,0.0,0.0,0.00121595330739,0.0,0.00145914396887,0.0,0.000729571984436
5,GTEX-11ZUS-2926-SM-5FQSL,0.023855963991,0.198199549887,0.0229557389347,0.0160540135034,0.000750187546887,0.00105026256564,0.0784696174044,0.0196549137284,0.00240060015004,0.00345086271568,0.00225056264066,0.00345086271568,0.179294823706,0.00105026256564,0.0,0.000600150037509,0.338634658665,0.0724681170293,0.00630157539385,0.000150037509377,0.00300075018755,0.000300075018755,0.00570142535634,0.000150037509377,0.0,0.000300075018755,0.0160540135034,0.0,0.000450112528132,0.0,0.000150037509377,0.0,0.0,0.0,0.00105026256564,0.000150037509377,0.000300075018755,0.0,0.0013503375844
6,GTEX-18465-0226-SM-7LG5M,0.236011904762,0.05,0.00892857142857,0.150297619048,0.00238095238095,0.11755952381,0.000595238095238,0.116964285714,0.0113095238095,0.0116071428571,0.0508928571429,0.0175595238095,0.0077380952381,0.0,0.0,0.000297619047619,0.0380952380952,0.010119047619,0.00208333333333,0.00744047619048,0.0988095238095,0.0,0.0491071428571,0.000297619047619,0.0,0.0,0.000595238095238,0.0,0.000595238095238,0.000297619047619,0.0014880952381,0.000297619047619,0.0,0.0,0.000297619047619,0.0,0.00833333333333,0.0,0.0
7,GTEX-1I1GU-0926-SM-ACKVS,0.00387314715047,0.00465942514342,0.000931885028685,0.00696001630799,0.0,0.00116485628586,0.000174728442878,0.00198025568595,0.308657794345,0.000465942514342,0.0036401758933,0.0414106409622,0.0,2.91214071464e-05,0.00104837065727,0.0,0.000698913771513,0.00139782754303,0.0106293136084,0.000436821107196,0.000174728442878,0.000174728442878,0.555985905239,0.018899793238,0.0,0.0,2.91214071464e-05,0.0,0.027053787239,0.00460118232913,0.000378578292903,0.0,0.0,0.0,0.000116485628586,5.82428142928e-05,0.00419348262908,0.0,0.000174728442878
8,GTEX-1JMLX-2326-SM-CXZJP,0.00819870271141,0.0045525965916,0.00296120220781,0.0985657306313,4.02884654124e-05,0.00145038475484,8.05769308247e-05,0.00255831755368,0.543430965715,0.000987067402603,0.0548124571935,0.107590346884,6.04326981185e-05,0.000322307723299,0.0301357721284,8.05769308247e-05,0.00159139438379,0.00122879819508,0.0475403891866,0.00241730792474,0.000120865396237,0.000825913540953,0.025301156279,0.000564038515773,0.0,0.0,4.02884654124e-05,0.0,0.0445791869788,0.000926634704484,0.003907981145,0.0,0.00993110672414,0.0,0.000120865396237,8.05769308247e-05,0.0048950485476,0.0,0.000100721163531
9,GTEX-1B996-1726-SM-7IGMW,0.0922901633118,0.0877326243828,0.0144322066084,0.0911507785796,0.0125332320547,0.354728446639,0.00151917964299,0.134827193316,0.00569692366122,0.00873528294721,0.046714774022,0.0216483099126,0.00113938473224,0.000379794910748,0.0,0.0,0.0349411317888,0.00759589821496,0.00379794910748,0.00759589821496,0.000759589821496,0.0,0.0296240030384,0.0,0.0,0.0,0.000759589821496,0.0,0.000379794910748,0.0,0.00113938473224,0.0,0.0,0.000759589821496,0.000759589821496,0.0,0.0383592859856,0.0,0.0
