i_doc,doc,Topic 1,Topic 2,Topic 3,Topic 4,Topic 5
0,GTEX-PLZ4-1226-SM-2I5FE,0.732654560722,0.0933137398971,0.00734753857458,0.0858612364858,0.0808229243204
1,GTEX-1EMGI-2726-SM-7P8S4,0.412790697674,0.0852713178295,0.282299741602,0.0132428940568,0.206395348837
2,GTEX-1C2JI-0008-SM-EXOHZ,0.124378109453,0.026902524415,0.641975308642,0.0193477059149,0.187396351575
3,GTEX-1S5ZU-2526-SM-E6CIF,0.0342270662178,0.00762693910219,0.0691838704362,0.00101221722652,0.887949907017
4,GTEX-11EMC-3226-SM-5EGKW,0.823929961089,0.02796692607,0.00656614785992,0.096060311284,0.0454766536965
5,GTEX-11ZUS-2926-SM-5FQSL,0.847861965491,0.0163540885221,0.00555138784696,0.099024756189,0.0312078019505
6,GTEX-18465-0226-SM-7LG5M,0.422916666667,0.158630952381,0.221428571429,0.00208333333333,0.19494047619
7,GTEX-1I1GU-0926-SM-ACKVS,0.0279565508605,0.0111534989371,0.0522729258278,0.000582428142928,0.908034596232
8,GTEX-1JMLX-2326-SM-CXZJP,0.155312034165,0.103460779179,0.0615204866847,0.000825913540953,0.678880786431
9,GTEX-1B996-1726-SM-7IGMW,0.304975313331,0.129510064565,0.370300037979,0.00341815419673,0.191796429928
10,GTEX-ZZPT-1326-SM-5E43H,0.632305013617,0.282735836421,0.0229474530113,0.0237957051654,0.0382159917853
11,GTEX-1GN73-1626-SM-9WYTS,0.247303718229,0.385021494834,0.0831887774342,0.0034693415793,0.281016667924
12,GTEX-1IDJH-2926-SM-C1YQ5,0.854762756319,0.0115641392465,0.002056509299,0.120529327611,0.011087267525
13,GTEX-P44G-0011-R11A-SM-2I3FD,0.82375063282,0.0135242641209,0.0129456859767,0.129095248427,0.0206841686555
14,GTEX-17KNJ-2326-SM-7DHLQ,0.0256786266478,0.00734813586879,0.0557087524109,0.000446307601575,0.910818177471
15,GTEX-131XW-0011-R10a-SM-5DUVA,0.811153358682,0.0297845373891,0.010773130545,0.0798479087452,0.0684410646388
16,GTEX-1192X-2526-SM-59868,0.413352272727,0.353794642857,0.112012987013,0.0540787337662,0.0667613636364
17,GTEX-1AX9K-1526-SM-73KVP,0.319822713258,0.0632065775951,0.0944244604317,0.00494604316547,0.51760020555
18,GTEX-1B97I-0826-SM-731DN,0.281167862471,0.0923492221354,0.0638985579314,0.00696171059175,0.555622646871
19,GTEX-1R7EV-1526-SM-E8VOD,0.742236024845,0.0714285714286,0.120600414079,0.0258799171843,0.0398550724638
20,GTEX-11NUK-0011-R5a-SM-DO93N,0.917281348788,0.0191429574991,0.00421496311907,0.0307341060766,0.028626624517
21,GTEX-POYW-0826-SM-2XCEM,0.760790641388,0.0384563668146,0.00914347183004,0.109318273497,0.0822912464704
22,GTEX-111CU-0826-SM-5EGIJ,0.445284159613,0.219165659008,0.248186215236,0.00997581620314,0.0773881499395
23,GTEX-14PJM-0011-R8b-SM-69LPD,0.905323371469,0.0122577632501,0.00723791734765,0.0577865981788,0.0173943497548
24,GTEX-WOFM-1626-SM-3MJFX,0.0694806252035,0.0584500162813,0.123005535656,0.00350048844025,0.745563334419
25,GTEX-1EU9M-2926-SM-793DF,0.830562034459,0.0171544654277,0.00940486043187,0.124068918817,0.0188097208637
26,GTEX-1RB15-1126-SM-E8VMX,0.841232029422,0.0977933801404,0.0176780341023,0.0119943162822,0.0313022400535
27,GTEX-1PPGY-2826-SM-DTX9H,0.399044795784,0.307971014493,0.170783926219,0.0355731225296,0.086627140975
28,GTEX-ZDTT-0326-SM-4WKF9,0.0459694688126,0.0234855287698,0.104476065483,0.00124335152311,0.824825585411
29,GTEX-1JKYN-0126-SM-AHZ4C,0.807816325312,0.0244819967755,0.00176150952409,0.161581178719,0.00435898966979
30,GTEX-WFON-1926-SM-3LK7L,0.0163676736538,0.0051506665344,0.0925593852775,0.000908043433472,0.885014231101
31,GTEX-1KANA-1226-SM-DHXKE,0.417945443108,0.547322671038,0.00192531310166,0.0243428201071,0.00846375264492
32,GTEX-1QP2A-0126-SM-E9J43,0.0399947424752,0.0134066883227,0.0425483973938,0.000713521227257,0.903336650581
33,GTEX-UTHO-1826-SM-3GAFE,0.469531030609,0.288402134232,0.165122156698,0.00421229991575,0.0727323785454
34,GTEX-T8EM-1026-SM-3DB7M,0.0259804798537,0.0133182260918,0.0883177291431,0.00109328721649,0.871290277695
35,GTEX-SNMC-0008-SM-4DM5A,0.424177010254,0.0507285483001,0.401511063141,0.0240151106314,0.099568267674
36,GTEX-18A6Q-2826-SM-7LTAO,0.839587447882,0.0174456879526,0.0118499012508,0.107856045644,0.0232609172701
37,GTEX-1EX96-0011-R6a-SM-9OSVV,0.91723202171,0.0211065882708,0.00331674958541,0.0408563244384,0.0174883159958
38,GTEX-S7SE-0011-R11A-SM-2XCDD,0.781025238656,0.0389041454165,0.00915391656859,0.138681836014,0.0322348633451
39,GTEX-T8EM-0526-SM-4DM64,0.0964216597731,0.0191629036542,0.0673547603688,0.0016316927864,0.815428983417
40,GTEX-1JKYN-1526-SM-CGQGA,0.0868296356733,0.0228763297455,0.0748423133649,0.0010355540214,0.814416167195
41,GTEX-17HHE-2326-SM-793C5,0.222072315165,0.0836481381543,0.208850512682,0.00404749055586,0.481381543443
42,GTEX-14BMU-0726-SM-73KXS,0.0602114031229,0.927053551792,0.000608230701561,0.0103330492633,0.00179376511986
43,GTEX-18D9B-0926-SM-7LG4U,0.0599357687676,0.0299879566439,0.078522681654,0.00080289040546,0.830750702529
44,GTEX-1CB4E-0126-SM-7DHMX,0.341982917072,0.624806285364,0.000882978340001,0.0254802320972,0.00684758712654
45,GTEX-1JJEA-0011-R6a-SM-EXUS1,0.926479035037,0.0114876507754,0.00344629523262,0.0367604824813,0.0218265364733
46,GTEX-WY7C-1926-SM-4ONCI,0.225645295587,0.158201498751,0.473771856786,0.00388565084652,0.138495698029
47,GTEX-13JVG-0226-SM-5J1MW,0.292288989232,0.581104550191,0.0206668982286,0.00625217089267,0.0996873914554
48,GTEX-11PRG-1526-SM-5HL6Z,0.237688968717,0.542284089208,0.0966921119593,0.00209549468642,0.121239335429
49,GTEX-14C5O-1726-SM-5RQI9,0.439826526924,0.260932417781,0.131911817853,0.0061438380918,0.161185399349
50,GTEX-T2IS-0011-R11A-SM-32QPC,0.808191940615,0.0149125132556,0.00961028632025,0.15045068929,0.0168345705196
51,GTEX-Y3I4-1526-SM-4TT7K,0.340233545648,0.392117834395,0.113720806794,0.00384819532909,0.150079617834
52,GTEX-TMMY-1026-SM-4DXTI,0.233700787402,0.207244094488,0.0803149606299,0.00346456692913,0.475275590551
53,GTEX-NPJ7-0011-R2a-SM-2I3GF,0.817664112653,0.0759991716712,0.00289915096293,0.0805549803272,0.022882584386
54,GTEX-1MGNQ-0726-SM-DPRYH,0.816590080811,0.0482490888924,0.00602123276818,0.0705910315322,0.0585485659959
55,GTEX-1CAMR-1026-SM-7P8QI,0.518628912072,0.104073522106,0.219324391456,0.0404868355688,0.117486338798
56,GTEX-1A32A-2826-SM-72D5S,0.540404040404,0.106060606061,0.161616161616,0.00932400932401,0.182595182595
57,GTEX-17F9E-0626-SM-79ON5,0.760872228347,0.0519416881049,0.01065784638,0.0997182408428,0.0768099963249
58,GTEX-1C64O-0526-SM-793D6,0.33728549142,0.0751950078003,0.0789391575663,0.00530421216849,0.503276131045
59,GTEX-14E6D-0926-SM-5S2QV,0.124775044991,0.0275944811038,0.0791841631674,0.00239952009598,0.766046790642
60,GTEX-1E1VI-2726-SM-7MXVH,0.285102332223,0.0480290770629,0.0383367227727,0.00601445199256,0.622517415949
61,GTEX-1K9T9-1826-SM-CXZK2,0.417961565295,0.091710534661,0.0146508530475,0.27297520137,0.202701845627
62,GTEX-15RIF-1126-SM-7KUG2,0.393067846608,0.109390363815,0.442232055064,0.00589970501475,0.0494100294985
63,GTEX-1J8QM-2626-SM-CYPSM,0.212693571093,0.126583763491,0.239676208353,0.00645236977945,0.414594087283
64,GTEX-144FL-2626-SM-5TDCW,0.377673069953,0.317143892715,0.175788329105,0.0130482058717,0.116346502356
