,Topic 1,Topic 2,Topic 3,Topic 4,Topic 5
ENSG00000229344.1,0.0027153262511166727,0.0,0.0,0.0,0.0
ENSG00000198744.5,0.004778270679468791,0.0,0.0,0.0,0.0
ENSG00000187730.8,0.0015246820720956325,0.0,0.0,0.0,0.0
ENSG00000169717.6,0.0003749639613836502,0.0,0.0,0.0,0.0
ENSG00000162592.9,4.9720099515962994e-05,0.0,0.0,0.0,0.0
ENSG00000235054.3,5.073479542445203e-06,0.0,0.0,0.0,0.0
ENSG00000228750.6,5.547004299740089e-06,0.0,0.0,0.0,0.0
ENSG00000232208.2,0.0,5.789726112337122e-06,0.0,0.0,0.0
ENSG00000235263.1,0.0,0.0,0.0007385729397394613,0.0,0.0
ENSG00000171819.4,0.0,0.0,0.028930727556441292,0.0,0.0
ENSG00000235643.1,0.0,0.0,0.0,7.652077964282745e-05,0.0
ENSG00000177553.6,4.126430027855432e-06,0.0,0.0,0.0,0.0
ENSG00000120937.8,0.0,0.0,0.0,0.0,0.009953852019487971
ENSG00000188984.11,0.0,0.0,0.0,0.0,1.8384522758530703e-05
ENSG00000228338.1,1.2717522053062643e-05,0.0,0.0,0.0,0.0
ENSG00000162438.11,0.0,0.005360259170552631,0.0,0.0,0.0
ENSG00000142615.7,0.0,0.008282950265132103,0.0,0.0,0.0
ENSG00000215704.9,0.0,0.0019209750944659183,0.0,0.0,0.0
ENSG00000142623.9,0.0,0.0,0.0,0.0,0.0009615576800731006
ENSG00000159339.13,0.0006021205520973967,0.0,0.0,0.0,0.0
ENSG00000230035.2,4.735247572948857e-06,0.0,0.0,0.0,0.0
ENSG00000162482.4,0.0007735365142381454,0.0,0.0,0.0,0.0
ENSG00000188784.4,0.0,0.0,0.0,0.0,6.3167334606233695e-06
ENSG00000117215.14,8.320506449610134e-06,0.0,0.0,0.0,0.0
ENSG00000158825.5,0.0,0.0,0.0,0.0,0.0028285766759048106
ENSG00000233069.1,2.82761926498946e-05,0.0,0.0,0.0,0.0
