i_doc,doc,MEmidnightblue,MEred,MEgreen,MEblack,MEblue,MEsalmon,MEturquoise,MEcyan,MEbrown,MEtan,MEgreenyellow,MEpink,MEyellow,MEmagenta,MEpurple,MEgrey
0,GTEX-1GZ2Q-0011-R6a-SM-9OSWM,-0.00766593317811864,-0.0171267408932592,0.0022935137947992,0.017262270250076,0.0921686658105177,-0.0159442122133549,-0.0236131098275276,-0.00376194343045341,-0.0103132771159546,-0.00863311288598364,-0.00911634304990919,-0.0163835511666061,-0.018979477335994997,-0.00974252446846847,-0.0166102005654329,-9.449039114709141e-05
1,GTEX-RU72-0011-R5A-SM-2TF6U,-0.0059057015149474295,-0.0125923379846088,0.00837933174346168,0.010044333477454,0.10620494299290101,-0.0107410406458185,-0.015365436599878999,-0.000485383864038111,-0.00527667883356535,-0.00828467348996516,-0.00927117144193954,-0.0118248736789183,-0.0175745386555761,-0.0059801268075246,-0.0163248343130536,-5.0370350118400106e-05
2,GTEX-WHSE-0011-R3A-SM-3P5ZM,-0.0101266830670819,-0.0162228251946307,0.0030346430410422604,0.0182948340995261,0.0940656094631269,-0.0139001645460451,-0.0222166601916733,-0.00609717542112828,-0.00947317229250462,-0.00589719662545802,-0.00743059464005151,-0.0157188393445869,-0.0163605534517729,-0.0038424916834540897,-0.0167559823258677,-0.000106834070809816
3,GTEX-14PQA-0011-R1b-SM-6EU1G,-0.00264370731619211,-0.0162172795067228,0.00229950217484429,0.00289445456628502,0.0684335059153092,-0.0197916612510173,-0.0224336359432913,-0.00590692581255721,-0.00942875412166535,-0.00873229634445269,-0.00313434636554191,-0.019098242189314,-0.0172056169956537,-0.00886996929905193,-0.0170069710392102,-8.47222696589625e-05
4,GTEX-13CF2-0011-R1a-SM-5LZY1,-0.00754780921137075,-0.0438913104092121,-0.004099252822988279,-0.00570350083349144,0.0408049436567279,-0.0224368427636507,-0.068292833750736,-0.007094128368663679,-0.0201178242615156,-0.0104517279965901,-0.00991309530906849,-0.0393317530168682,-0.0295129846514897,-0.0119087883726184,-0.0136911918392158,-0.00015480170719293202
5,GTEX-1B8L1-0011-R10b-SM-7P8Q4,-0.005597568383467671,-0.00488987180099379,0.00405890824238678,0.0190136590600198,0.118253659063556,-0.0133089961309499,-0.0126517144217194,-0.0022718072725275,-0.009403052892113909,-0.00882130087799444,-0.0104336177907772,-0.0035854906447883796,-0.0242314347758522,-0.00573022850174821,-0.0175767009437878,-0.000137566375817389
6,GTEX-1445S-3026-SM-5O9BR,-0.00225803982315415,-0.0196028601424006,-0.00019136718385481398,0.00201774663726762,0.0697042570364043,-0.0191417406448934,-0.0271552725045892,-0.0027710468780502,-0.0107768990343332,-0.0100620218879877,-0.008846241844462241,-0.0206483659618017,-0.0206822907161528,-0.00972701163206133,-0.017074906576408002,-9.82254714088221e-05
7,GTEX-1B8SF-0011-R8b-SM-7P8SX,0.00327665949528385,-0.0229522227131499,0.0017955431748422,0.00954783113368367,0.0659250431914678,-0.0153271812368436,-0.0326390361243035,0.0015448417687366199,-0.0116541961187744,-0.0067351889834968,-0.00386145662638045,-0.0240785542692417,-0.0210784778336403,-0.008630167425535091,-0.0171276710341887,-9.42295393485732e-05
8,GTEX-15ER7-0011-R7a-SM-6M46N,-0.00333627800827301,-0.0144269743126064,0.000786775242391522,0.00881984965092489,0.0980072042282328,-0.0119199227391363,-0.0196046992030686,-0.0021499530428586,-0.0102102372009072,-0.00560810215027691,-0.0113299515407223,-0.0122695268146657,-0.0181275139446203,-0.009459856383768929,-0.0162172214304389,-0.00010791909046479
9,GTEX-14ASI-0011-R5b-SM-6EU2M,-0.009397698956786759,-0.0273574077587707,0.00231552828052664,0.0126137596210058,0.0754495243419404,-0.0172685203135964,-0.0419134116682712,-0.00518635403446183,-0.0102773550415266,-0.00348213750405591,-0.010471503188906,-0.0270414399527219,-0.021130046374163994,-0.00897737481740188,-0.0172890269813831,-0.000132415638295459
10,GTEX-OHPN-0011-R1A-SM-2I5GB,-0.00819419278106729,-0.0371058314804572,-0.00129209099469642,0.00364664987604903,0.0511598417802743,-0.0218724792052466,-0.0559565808652139,-0.00441285236791969,-0.015992593450781998,-0.00999892994578724,-0.00887847573532681,-0.0310676590636223,-0.0176951504656182,-0.0115651198174453,-0.0167790911538211,-9.498535184819621e-05
11,GTEX-11DYG-0011-R5a-SM-DO928,-0.0027563567351035897,-0.0152609841751629,0.00513671872436515,0.00963116566825463,0.0983890678617259,-0.011991733374501,-0.0289617586707104,-0.0036482470726501,-0.0114348156164762,-0.0065956929571991205,-0.0112152718054102,-0.0154928416073502,-0.0220919557920422,-0.00906072467784017,-0.0170414312611451,-0.000159747188087803
12,GTEX-1B933-0011-R10b-SM-9OSVN,-0.00233161184996977,-0.0009253601196621721,0.000329502022451771,0.0265398162198119,0.11746324293068901,-0.0114673587308159,-0.0062614347574133705,-0.0019750493779383603,-0.00798888715591998,-0.00896569328049403,-0.00820068728869241,-0.0022765902884890397,-0.019298374803472,0.00161820809155293,-0.0164721504096509,-7.604418454717159e-05
13,GTEX-1IKK5-0011-R5b-SM-CL55B,0.00708130056079215,-0.009984856778114741,0.0028096140652513197,0.0145941923821174,0.11008820179921301,-0.0135143994126801,-0.0130702280812322,-0.00751006003491326,-0.0073329842887613905,0.00106148011667986,-0.00207734692891907,-0.0124011855626667,-0.0100079787068306,-0.0019050551068432399,-0.017350319997387,-7.236116659845241e-05
14,GTEX-1IY9M-0011-R7a-SM-D4P49,0.00314010019557346,-0.0107973507464601,0.0011037226676307301,0.00964243721726305,0.11144738014998,-0.0069277719411726295,-0.015576532788402,0.000659927149948589,-0.00942680003857848,-0.007204177798369841,-0.00600120551348222,-0.0114921763995555,-0.0107103933579818,-0.0067089261578499,-0.0173023787559877,-9.19438194815549e-05
15,GTEX-ZE9C-3026-SM-4WKHB,-0.0059432719977333395,-0.00591508007336665,0.0062443364169363,0.0250800252246664,0.110946329501337,-0.0129673879246876,-0.00725812542855852,0.0019591022201105803,-0.00412978371863285,-0.00834970257120816,-0.011416833512592,-0.0021515306293278897,-0.0195325426046207,-0.000839250977804391,-0.0168193983908315,-8.69469718357346e-05
16,GTEX-1MJK2-3026-SM-EV7A5,0.00376094811841006,0.00140486862569644,0.0020036350546925,0.278405069094552,0.0969103009516107,-0.0150544138644239,0.0278160517496525,0.00324374777490415,0.00398719378655957,0.0021575382331910802,-0.00528063001592838,0.0174663801051228,-0.0149278767107699,3.43521333419812e-05,-0.0147776335619619,7.59594518051167e-05
17,GTEX-144GL-0011-R11b-SM-5P9F6,0.0073650837524846,0.0016997993488612698,-0.0011999187588828699,0.254517833486672,0.102635771849506,-0.018360934901845,0.0280066501879921,0.0018070722347821601,0.0014623770576223099,0.0024209368962486697,-0.007618308929179891,0.0257344049327022,-0.0142627724102527,-0.00555448357103363,-0.0172631210012043,1.0799364174995899e-05
18,GTEX-13FXS-0011-R9a-SM-5K7UI,0.0286330374242063,0.00216433082731858,0.00248684333743508,0.0289939366240438,0.0837682243492998,-0.00618638025117136,0.0170850166787892,0.009477959962856459,0.00105809326028719,0.00721670449804641,-0.00307495042868088,0.010850120341512,0.00294176378420644,-0.00278165156413921,-0.0143763387841701,2.35236216681738e-05
19,GTEX-11ZVC-0011-R1b-SM-5BC6M,-0.00617263850100017,-0.0335012380314802,0.0036058579472309,-0.007196975047992959,0.0391149107444683,-0.0213377481029372,-0.0490544916381681,-0.00579408126229715,-0.0165488333558406,-0.00501748831547122,-0.011563986380823002,-0.0262755664247864,-0.0297677124540697,-0.0120765897489112,-0.017310697595133,-0.00013023810419018
20,GTEX-P44G-0011-R7A-SM-2I3F9,-0.0018926899901828,-0.0240145865749878,0.00151581908402652,0.00561836451289212,0.0824107717912113,-0.0166966619397224,-0.0374956665677631,-0.00252250790336727,-0.0126136396547292,-0.0040843960922287295,-0.00948873668344314,-0.023653723245081998,-0.024360965516802002,-0.010655669296121,-0.0171744751399952,-8.93533436690755e-05
