MEmidnightblue,MEred,MEgreen,MEblack,MEblue,MEsalmon,MEturquoise,MEcyan,MEbrown,MEtan,MEgreenyellow,MEpink,MEyellow,MEmagenta,MEpurple,MEgrey
ENSG00000180999,ENSG00000279489,ENSG00000225738,ENSG00000258725,ENSG00000271614,ENSG00000177694,ENSG00000177694,ENSG00000212933,ENSG00000163207,ENSG00000163207,ENSG00000175779,ENSG00000213757,ENSG00000073861,ENSG00000204991,ENSG00000135114,ENSG00000213757
ENSG00000226063,ENSG00000151240,ENSG00000139797,ENSG00000230932,ENSG00000231660,ENSG00000151240,ENSG00000213757,ENSG00000170484,ENSG00000132475,ENSG00000227922,ENSG00000236352,ENSG00000153574,ENSG00000169413,ENSG00000178882,ENSG00000246582,ENSG00000275936
ENSG00000231811,ENSG00000284391,ENSG00000224107,ENSG00000218475,ENSG00000186231,ENSG00000251359,ENSG00000275936,ENSG00000225438,ENSG00000213214,ENSG00000277013,ENSG00000160117,ENSG00000138750,ENSG00000146828,ENSG00000147804,ENSG00000229092,ENSG00000260912
ENSG00000107317,ENSG00000272070,ENSG00000254434,ENSG00000182722,ENSG00000073150,ENSG00000284391,ENSG00000153574,ENSG00000188581,ENSG00000277013,ENSG00000254670,ENSG00000226397,ENSG00000128513,ENSG00000135114,ENSG00000036565,ENSG00000283288,ENSG00000138750
ENSG00000121769,ENSG00000124006,ENSG00000258712,ENSG00000110427,ENSG00000279014,ENSG00000279041,ENSG00000260912,ENSG00000241233,ENSG00000266028,ENSG00000268287,ENSG00000282925,ENSG00000253669,ENSG00000259671,ENSG00000282793,ENSG00000095110,ENSG00000172057
ENSG00000186439,ENSG00000187486,ENSG00000248457,ENSG00000235034,ENSG00000248184,ENSG00000164323,ENSG00000138750,ENSG00000244025,ENSG00000254670,ENSG00000238755,ENSG00000157601,ENSG00000164323,ENSG00000274020,ENSG00000185002,ENSG00000253467,ENSG00000132475
ENSG00000078814,ENSG00000091436,ENSG00000280180,ENSG00000236276,ENSG00000204991,ENSG00000031003,ENSG00000147654,ENSG00000189169,ENSG00000270937,ENSG00000136695,ENSG00000113302,ENSG00000160117,ENSG00000172757,ENSG00000229092,ENSG00000211626,ENSG00000258741
ENSG00000253925,ENSG00000172403,ENSG00000102055,ENSG00000253361,ENSG00000227051,ENSG00000245552,ENSG00000172057,ENSG00000244624,ENSG00000011009,ENSG00000087510,ENSG00000272825,ENSG00000168303,ENSG00000167261,ENSG00000283288,ENSG00000254827,ENSG00000111412
ENSG00000252104,ENSG00000185345,ENSG00000223597,ENSG00000261670,ENSG00000253379,ENSG00000157216,ENSG00000132475,ENSG00000006059,ENSG00000065621,ENSG00000154342,ENSG00000114013,ENSG00000166133,ENSG00000272825,ENSG00000095110,ENSG00000211920,ENSG00000225205
ENSG00000253660,ENSG00000260460,ENSG00000270691,ENSG00000267890,ENSG00000182722,ENSG00000152492,ENSG00000258741,,ENSG00000207611,ENSG00000252920,ENSG00000258843,ENSG00000130733,ENSG00000114013,ENSG00000224276,ENSG00000165496,ENSG00000251359
ENSG00000134020,ENSG00000139977,ENSG00000269931,ENSG00000234303,ENSG00000155886,ENSG00000244968,ENSG00000151240,,ENSG00000058085,ENSG00000253196,ENSG00000229162,ENSG00000236991,ENSG00000229162,ENSG00000163959,ENSG00000235576,ENSG00000128513
ENSG00000150722,ENSG00000050820,ENSG00000231431,ENSG00000186862,ENSG00000110427,ENSG00000225378,ENSG00000273901,,ENSG00000233203,ENSG00000264177,ENSG00000279942,ENSG00000136108,ENSG00000140932,ENSG00000211626,ENSG00000276566,ENSG00000160161
ENSG00000238273,ENSG00000112992,ENSG00000229249,ENSG00000112139,ENSG00000177098,ENSG00000272823,ENSG00000111412,,ENSG00000268287,ENSG00000230638,ENSG00000279500,ENSG00000164306,ENSG00000145779,ENSG00000254827,ENSG00000105369,ENSG00000276523
ENSG00000261115,ENSG00000156469,ENSG00000260994,ENSG00000186648,ENSG00000235034,ENSG00000226409,ENSG00000251359,,ENSG00000121900,ENSG00000244094,ENSG00000229781,ENSG00000011009,ENSG00000205846,ENSG00000165496,ENSG00000282639,ENSG00000276696
ENSG00000253807,ENSG00000117054,ENSG00000225488,ENSG00000215589,ENSG00000067836,ENSG00000170876,ENSG00000067445,,ENSG00000246582,ENSG00000276850,ENSG00000116017,ENSG00000004700,ENSG00000259600,ENSG00000261208,ENSG00000275475,ENSG00000265939
ENSG00000174502,ENSG00000214297,ENSG00000113492,ENSG00000225554,ENSG00000253361,ENSG00000197702,ENSG00000128513,,ENSG00000186648,ENSG00000172382,ENSG00000264739,ENSG00000064490,ENSG00000163959,ENSG00000282639,ENSG00000225523,ENSG00000164323
ENSG00000121743,ENSG00000124374,ENSG00000183246,ENSG00000104112,ENSG00000157680,ENSG00000083750,ENSG00000100422,,ENSG00000215126,ENSG00000075275,ENSG00000105369,ENSG00000101574,ENSG00000242473,ENSG00000187783,ENSG00000173237,ENSG00000031003
,ENSG00000096080,ENSG00000229027,ENSG00000257680,ENSG00000108830,ENSG00000272720,ENSG00000154485,,ENSG00000259513,ENSG00000281097,ENSG00000258878,ENSG00000151239,ENSG00000115956,ENSG00000225523,ENSG00000271503,ENSG00000213214
,ENSG00000133315,ENSG00000257164,ENSG00000224717,ENSG00000272056,ENSG00000104375,ENSG00000277969,,ENSG00000215644,ENSG00000155761,ENSG00000144554,ENSG00000186283,ENSG00000189067,ENSG00000173237,ENSG00000253241,ENSG00000168303
,ENSG00000121769,ENSG00000261446,ENSG00000250514,ENSG00000261670,ENSG00000178202,ENSG00000160161,,ENSG00000136695,ENSG00000241635,ENSG00000117586,ENSG00000251018,ENSG00000276568,ENSG00000241635,ENSG00000211972,ENSG00000275437
