,primary_site,status,dataset,tissue_hd,dataset_status
TCGA-E8-A2JQ-11A-11R-A180-07,Thyroid,healthy,tcga,Thyroid_healthy,tcga_healthy
TCGA-EL-A3ZK-11A-11R-A23N-07,Thyroid,healthy,tcga,Thyroid_healthy,tcga_healthy
TCGA-BJ-A28X-11A-11R-A22L-07,Thyroid,healthy,tcga,Thyroid_healthy,tcga_healthy
TCGA-BJ-A28R-11A-11R-A16R-07,Thyroid,healthy,tcga,Thyroid_healthy,tcga_healthy
TCGA-EL-A3T8-11A-11R-A22L-07,Thyroid,healthy,tcga,Thyroid_healthy,tcga_healthy
TCGA-EL-A3ZL-11A-11R-A23N-07,Thyroid,healthy,tcga,Thyroid_healthy,tcga_healthy
TCGA-EL-A3TA-11A-12R-A22L-07,Thyroid,healthy,tcga,Thyroid_healthy,tcga_healthy
TCGA-FY-A3TY-11A-12R-A22U-07,Thyroid,healthy,tcga,Thyroid_healthy,tcga_healthy
TCGA-EL-A3MY-11A-12R-A21D-07,Thyroid,healthy,tcga,Thyroid_healthy,tcga_healthy
TCGA-EL-A3T6-11A-11R-A220-07,Thyroid,healthy,tcga,Thyroid_healthy,tcga_healthy
TCGA-EL-A3T3-11A-11R-A22L-07,Thyroid,healthy,tcga,Thyroid_healthy,tcga_healthy
TCGA-EL-A3ZR-11A-11R-A23N-07,Thyroid,healthy,tcga,Thyroid_healthy,tcga_healthy
TCGA-EL-A3MW-11A-11R-A20F-07,Thyroid,healthy,tcga,Thyroid_healthy,tcga_healthy
TCGA-ET-A3DW-11A-11R-A19O-07,Thyroid,healthy,tcga,Thyroid_healthy,tcga_healthy
TCGA-BJ-A2NA-11A-11R-A19O-07,Thyroid,healthy,tcga,Thyroid_healthy,tcga_healthy
TCGA-KS-A41I-11A-11R-A23N-07,Thyroid,healthy,tcga,Thyroid_healthy,tcga_healthy
TCGA-KS-A41L-11A-11R-A23N-07,Thyroid,healthy,tcga,Thyroid_healthy,tcga_healthy
TCGA-EL-A3GZ-11A-11R-A20F-07,Thyroid,healthy,tcga,Thyroid_healthy,tcga_healthy
TCGA-EL-A3ZT-11A-13R-A23N-07,Thyroid,healthy,tcga,Thyroid_healthy,tcga_healthy
TCGA-BJ-A3PU-11A-11R-A220-07,Thyroid,healthy,tcga,Thyroid_healthy,tcga_healthy
TCGA-EL-A3TB-11A-11R-A22L-07,Thyroid,healthy,tcga,Thyroid_healthy,tcga_healthy
TCGA-BJ-A2N8-11A-11R-A18C-07,Thyroid,healthy,tcga,Thyroid_healthy,tcga_healthy
TCGA-EL-A3T0-11A-12R-A22L-07,Thyroid,healthy,tcga,Thyroid_healthy,tcga_healthy
TCGA-GE-A2C6-11A-11R-A16R-07,Thyroid,healthy,tcga,Thyroid_healthy,tcga_healthy
TCGA-EL-A3MX-11A-11R-A21D-07,Thyroid,healthy,tcga,Thyroid_healthy,tcga_healthy
TCGA-ET-A2MX-11C-11R-A23N-07,Thyroid,healthy,tcga,Thyroid_healthy,tcga_healthy
TCGA-EL-A3N3-11A-11R-A20F-07,Thyroid,healthy,tcga,Thyroid_healthy,tcga_healthy
TCGA-EL-A3ZH-11A-11R-A23N-07,Thyroid,healthy,tcga,Thyroid_healthy,tcga_healthy
TCGA-EL-A3ZM-11A-12R-A23N-07,Thyroid,healthy,tcga,Thyroid_healthy,tcga_healthy
TCGA-EL-A3H1-11A-11R-A21D-07,Thyroid,healthy,tcga,Thyroid_healthy,tcga_healthy
TCGA-EL-A3T7-11A-21R-A22L-07,Thyroid,healthy,tcga,Thyroid_healthy,tcga_healthy
TCGA-EL-A3H2-11A-11R-A20F-07,Thyroid,healthy,tcga,Thyroid_healthy,tcga_healthy
TCGA-EL-A3ZQ-11A-11R-A23N-07,Thyroid,healthy,tcga,Thyroid_healthy,tcga_healthy
TCGA-KS-A41J-11A-12R-A23N-07,Thyroid,healthy,tcga,Thyroid_healthy,tcga_healthy
TCGA-EL-A3T1-11A-11R-A22L-07,Thyroid,healthy,tcga,Thyroid_healthy,tcga_healthy
TCGA-EL-A3ZP-11A-11R-A23N-07,Thyroid,healthy,tcga,Thyroid_healthy,tcga_healthy
TCGA-EM-A1CS-11A-21R-A13Y-07,Thyroid,healthy,tcga,Thyroid_healthy,tcga_healthy
TCGA-H2-A2K9-11A-11R-A180-07,Thyroid,healthy,tcga,Thyroid_healthy,tcga_healthy
TCGA-ET-A2N5-11B-11R-A18C-07,Thyroid,healthy,tcga,Thyroid_healthy,tcga_healthy
TCGA-ET-A3DP-11A-22R-A21D-07,Thyroid,healthy,tcga,Thyroid_healthy,tcga_healthy
TCGA-H2-A3RI-11A-11R-A220-07,Thyroid,healthy,tcga,Thyroid_healthy,tcga_healthy
