subtissue,tissue,l0,l1,l2,l3,l4
Breast_tumor,Breast,1,1,1,1,0
Breast_tumor,Breast,2,1,1,1,0
Breast_tumor,Breast,3,1,1,1,0
Breast_tumor,Breast,4,1,1,1,0
Breast_tumor,Breast,5,2,1,1,0
Breast_tumor,Breast,6,2,1,1,0
Breast_tumor,Breast,7,2,1,1,0
Breast_tumor,Breast,8,2,1,1,0
Breast_tumor,Breast,9,3,1,1,0
Breast_tumor,Breast,10,3,1,1,0
Breast_tumor,Breast,11,3,1,1,0
Breast_tumor,Breast,12,3,1,1,0
Breast_tumor,Breast,13,4,1,1,0
Breast_tumor,Breast,14,4,1,1,0
Breast_tumor,Breast,15,4,1,1,0
Breast_tumor,Breast,16,4,1,1,0
Breast_tumor,Breast,17,4,1,1,0
Breast_tumor,Breast,18,4,1,1,0
Breast_tumor,Breast,19,5,1,1,0
Breast_tumor,Breast,20,5,1,1,0
Breast_tumor,Breast,21,5,1,1,0
Breast_tumor,Breast,22,5,1,1,0
Breast_tumor,Breast,23,6,1,1,0
Uterus_tumor,Uterus,24,6,1,1,0
Breast_tumor,Breast,25,7,1,1,0
Breast_tumor,Breast,26,7,1,1,0
Breast_tumor,Breast,27,7,1,1,0
Breast_tumor,Breast,28,8,1,1,0
Breast_tumor,Breast,29,8,1,1,0
Breast_tumor,Breast,30,8,1,1,0
Breast_tumor,Breast,31,8,1,1,0
Breast_tumor,Breast,32,8,1,1,0
Breast_tumor,Breast,33,9,1,1,0
Breast_tumor,Breast,34,9,1,1,0
Breast_tumor,Breast,35,9,1,1,0
Breast_tumor,Breast,36,9,1,1,0
Breast_tumor,Breast,37,9,1,1,0
Breast_healthy,Breast,38,10,2,1,0
Breast_healthy,Breast,39,10,2,1,0
Breast_healthy,Breast,40,10,2,1,0
Breast_healthy,Breast,41,10,2,1,0
Breast_healthy,Breast,42,10,2,1,0
Breast_healthy,Breast,43,10,2,1,0
Breast_healthy,Breast,44,10,2,1,0
Breast_healthy,Breast,45,10,2,1,0
Breast_healthy,Breast,46,10,2,1,0
Breast_healthy,Breast,47,11,2,1,0
Breast_healthy,Breast,48,11,2,1,0
Breast_healthy,Breast,49,11,2,1,0
Breast_healthy,Breast,50,11,2,1,0
Breast_healthy,Breast,51,11,2,1,0
Breast_healthy,Breast,52,11,2,1,0
Breast_healthy,Breast,53,11,2,1,0
Breast_healthy,Breast,54,12,2,1,0
Breast_healthy,Breast,55,12,2,1,0
Breast_healthy,Breast,56,12,2,1,0
Breast_healthy,Breast,57,12,2,1,0
Breast_healthy,Breast,58,12,2,1,0
Breast_healthy,Breast,59,12,2,1,0
Breast_healthy,Breast,60,12,2,1,0
Breast_healthy,Breast,61,12,2,1,0
Breast_healthy,Breast,62,12,2,1,0
Breast_healthy,Breast,63,12,2,1,0
Breast_healthy,Breast,64,12,2,1,0
Breast_healthy,Breast,65,13,2,1,0
Breast_healthy,Breast,66,13,2,1,0
Breast_healthy,Breast,67,13,2,1,0
Breast_healthy,Breast,68,13,2,1,0
Breast_healthy,Breast,69,13,2,1,0
Breast_healthy,Breast,70,13,2,1,0
Breast_healthy,Breast,71,13,2,1,0
Breast_healthy,Breast,72,13,2,1,0
Breast_healthy,Breast,73,13,2,1,0
Breast_healthy,Breast,74,14,2,1,0
