Cluster 1,Cluster 2,Cluster 3,Cluster 4,Cluster 5,Cluster 6
TCGA-B6-A0RV-01A-11R-A084-07,TCGA-KH-A6WC-01A-11R-A336-31,GTEX-OIZI-1326-SM-3NB1B,TCGA-50-7109-01A-11R-2039-07,GTEX-131XE-0326-SM-5LZVO,GTEX-1399S-2226-SM-5IFEW
TCGA-KC-A4BV-01A-31R-A26U-07,TCGA-L5-A8NH-01A-11R-A37I-31,GTEX-T8EM-1226-SM-4DM5J,TCGA-N6-A4VD-01A-11R-A28V-07,GTEX-UPK5-1426-SM-4JBHH,GTEX-X4EO-0926-SM-3P5Z2
TCGA-J4-8198-01A-11R-2263-07,TCGA-L5-A88S-01A-11R-A36D-31,GTEX-11EQ9-1226-SM-5987E,TCGA-NA-A4R0-01A-11R-A28V-07,GTEX-132NY-0926-SM-5P9G3,GTEX-X4LF-0526-SM-3NMB6
TCGA-G9-6384-11A-01R-1858-07,TCGA-LN-A4A8-01A-32R-A260-31,GTEX-S7SF-0626-SM-4AD4V,TCGA-N8-A4PP-01A-11R-A28V-07,GTEX-11NUK-1226-SM-5P9GM,GTEX-QV44-0926-SM-2S1RH
TCGA-FC-A5OB-01A-11R-A29R-07,TCGA-77-A5GB-01B-11R-A27Q-07,GTEX-12WSD-2326-SM-59HKQ,TCGA-NA-A5I1-01A-21R-A28V-07,GTEX-YB5E-0326-SM-5IFHU,GTEX-13OW5-0726-SM-5KLZK
TCGA-HC-7738-01A-11R-2118-07,TCGA-L5-A43J-01A-12R-A24K-31,GTEX-ZP4G-1226-SM-4WWCJ,TCGA-N9-A4Q8-01A-31R-A28V-07,GTEX-139YR-0226-SM-5IFEM,GTEX-13111-0426-SM-5DUXR
TCGA-KK-A6E2-01A-11R-A311-07,TCGA-LN-A8I0-01A-11R-A36D-31,GTEX-11P82-0726-SM-5PNYL,TCGA-N8-A4PQ-01A-11R-A28V-07,GTEX-P78B-1326-SM-3P611,GTEX-T6MO-0426-SM-32QOI
TCGA-G9-6364-01A-21R-1789-07,TCGA-L5-A8NF-01A-11R-A37I-31,GTEX-Y8E4-1526-SM-4WWDI,TCGA-N8-A4PN-01A-11R-A28V-07,GTEX-11ZVC-0726-SM-5FQT9,GTEX-13FTY-0126-SM-5J2NZ
TCGA-KK-A8I5-01A-11R-A36G-07,TCGA-VR-A8ER-01A-11R-A36D-31,GTEX-OXRK-1626-SM-3NB17,TCGA-N6-A4VF-01A-31R-A28V-07,GTEX-RM2N-1926-SM-48FCU,GTEX-OXRL-0526-SM-2I3EZ
TCGA-EJ-5516-01A-01R-1580-07,TCGA-L5-A8NK-01A-21R-A37I-31,GTEX-T5JC-1926-SM-4DM6Q,TCGA-NF-A4X2-01A-11R-A28V-07,GTEX-ZF29-2026-SM-4WWB7,GTEX-S341-0326-SM-2XCAU
TCGA-EJ-7792-11A-01R-2118-07,TCGA-JY-A6FE-01A-11R-A336-31,GTEX-POMQ-0826-SM-3P61H,TCGA-NG-A4VU-01A-11R-A28V-07,GTEX-UTHO-2426-SM-4JBHD,GTEX-NPJ8-0326-SM-2D7VV
TCGA-HC-A632-01A-11R-A29R-07,TCGA-IC-A6RE-01A-11R-A336-31,GTEX-ZV6S-0926-SM-57WGB,TCGA-55-7570-01A-11R-2039-07,GTEX-13FTW-1126-SM-5J2NV,GTEX-ZT9W-0726-SM-4YCDC
TCGA-V1-A8MG-01A-11R-A36G-07,TCGA-LN-A49N-01A-11R-A24K-31,GTEX-13111-1226-SM-5GCNC,TCGA-55-7574-01A-11R-2039-07,GTEX-SJXC-1226-SM-4DM78,GTEX-RWS6-0226-SM-2XCA9
TCGA-CH-5794-01A-11R-1580-07,TCGA-R6-A6XQ-01B-11R-A336-31,GTEX-111CU-0926-SM-5EGIK,TCGA-N8-A4PI-01A-21R-A28V-07,GTEX-146FH-1526-SM-5NQBU,GTEX-UJHI-0726-SM-3DB92
TCGA-HC-A631-01A-11R-A29R-07,TCGA-L5-A43C-01A-11R-A24K-31,GTEX-11WQK-2626-SM-5EQ4K,TCGA-NF-A4WU-01A-11R-A28V-07,GTEX-13NYB-1026-SM-5IFH3,GTEX-O5YT-0526-SM-32PK8
TCGA-EJ-7318-01B-11R-A32O-07,TCGA-L5-A88V-01A-11R-A354-31,GTEX-13RTK-0226-SM-5RQHR,TCGA-N8-A4PO-01A-11R-A28V-07,GTEX-U3ZN-0226-SM-3DB8D,GTEX-P4PP-0526-SM-2HMKE
TCGA-EJ-A46G-01A-31R-A26U-07,TCGA-Q9-A6FW-01A-31R-A31P-31,GTEX-O5YW-1526-SM-3MJGL,TCGA-QN-A5NN-01A-11R-A28V-07,GTEX-13OW6-2626-SM-5IFF2,GTEX-14E7W-1326-SM-5RQIV
TCGA-CH-5769-11A-01R-1580-07,TCGA-IG-A625-01A-11R-A31P-31,GTEX-13PVQ-2126-SM-5L3FW,TCGA-86-8672-01A-21R-2403-07,GTEX-13NZB-0626-SM-5IFH6,GTEX-YFC4-1126-SM-5RQJN
TCGA-EJ-A6RC-01A-11R-A32O-07,TCGA-L5-A4OE-01A-11R-A260-31,GTEX-P4PP-1526-SM-3P61M,TCGA-NA-A4QV-01A-11R-A28V-07,GTEX-13113-1326-SM-5GCOI,GTEX-RUSQ-0626-SM-2TF5V
TCGA-EJ-5509-01A-01R-1580-07,TCGA-LN-A4A4-01A-11R-A260-31,GTEX-W5WG-1726-SM-4LMI5,TCGA-NA-A4QX-01A-11R-A28V-07,GTEX-12WSD-1426-SM-5GCN9,GTEX-13OW6-0826-SM-5L3GA
TCGA-G9-7523-01A-11R-2263-07,TCGA-37-A5EM-01A-21R-A27Q-07,GTEX-ZZ64-0426-SM-5E43F,TCGA-N5-A4RU-01A-31R-A28V-07,GTEX-ZVT4-0626-SM-5E45T,GTEX-13CF3-0426-SM-5IJEU
TCGA-G9-6332-01A-11R-1789-07,TCGA-66-2765-01A-01R-0851-07,GTEX-12WSG-2026-SM-5FQUU,TCGA-66-2756-01A-01R-0851-07,GTEX-Y5LM-0426-SM-4VBRO,GTEX-SNOS-0426-SM-32PMH
TCGA-HC-A8CY-01A-11R-A36G-07,TCGA-Z6-A9VB-01A-21R-A37I-31,GTEX-ZPU1-1626-SM-4WWB2,TCGA-N8-A4PL-01A-11R-A28V-07,GTEX-TKQ2-1726-SM-4DXUP,GTEX-WYBS-1126-SM-3NMAM
TCGA-HC-8266-01A-11R-2263-07,TCGA-R6-A6L6-01B-11R-A336-31,GTEX-QLQ7-0826-SM-447B3,TCGA-N9-A4PZ-01A-22R-A28V-07,GTEX-ZAB4-0826-SM-5LU9D,GTEX-12ZZY-0926-SM-5EQ6I
TCGA-EJ-5505-01A-01R-1580-07,TCGA-2H-A9GO-01A-11R-A37I-31,GTEX-U3ZN-2026-SM-4DXUC,TCGA-N6-A4VG-01A-31R-A28V-07,GTEX-X4EO-1126-SM-4QARQ,GTEX-QMR6-1926-SM-32PL9
GTEX-WOFM-0326-SM-4OOSL,TCGA-L5-A4OI-01A-11R-A36D-31,GTEX-144GN-1226-SM-5O991,TCGA-N8-A56S-01A-11R-A28V-07,TCGA-G3-A5SI-01A-31R-A27V-07,GTEX-12WSA-1026-SM-5EGHN
GTEX-132NY-2826-SM-5P9G2,TCGA-XP-A8T6-01A-11R-A36D-31,GTEX-SNOS-0826-SM-4DM5N,TCGA-N8-A4PM-01A-11R-A28V-07,GTEX-Z9EW-0426-SM-5CVM9,GTEX-Q734-0626-SM-2I3EF
GTEX-XGQ4-1826-SM-4AT6F,TCGA-Q9-A6FU-01A-11R-A31P-31,GTEX-WZTO-2126-SM-4PQYW,TCGA-NF-A4WX-01A-11R-A28V-07,GTEX-VUSG-0126-SM-4KL1X,GTEX-11NSD-0326-SM-5A5LS
GTEX-11WQK-2726-SM-5EQMU,TCGA-68-7757-01B-11R-2296-07,GTEX-OIZH-1526-SM-3NB1J,TCGA-N5-A4RT-01A-11R-A28V-07,GTEX-139TS-1426-SM-5IFJD,TCGA-FL-A1YI-11A-11R-A16F-07
GTEX-13OW8-0426-SM-5J2NR,TCGA-34-5241-01A-01R-1443-07,GTEX-1211K-1426-SM-5FQTF,TCGA-ND-A4WA-01A-12R-A28V-07,GTEX-S32W-1926-SM-4AD63,TCGA-FL-A1YF-11A-12R-A16F-07
