i_doc,doc,Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,Topic 6,Topic 7,Topic 8,Topic 9,Topic 10,Topic 11,Topic 12,Topic 13,Topic 14,Topic 15,Topic 16,Topic 17,Topic 18,Topic 19,Topic 20
0,TCGA-B6-A0RV-01A-11R-A084-07,0.588546959643,0.335918796667,0.0572844166233,0.0180171140166,0.00022203813932,0.0,0.0,0.0,0.0,7.1166070295e-07,0.0,0.0,0.0,0.0,7.1166070295e-07,0.0,0.0,0.0,9.25158913835e-06,0.0
1,TCGA-BH-A1EU-01A-11R-A137-07,0.664777471277,0.22881827844,0.0898335468739,0.0161915530176,0.000368298143791,4.74785820725e-06,0.0,0.0,6.78265458178e-07,2.03479637454e-06,6.78265458178e-07,2.03479637454e-06,0.0,0.0,6.78265458178e-07,0.0,0.0,0.0,0.0,0.0
2,TCGA-E9-A1RB-11A-33R-A157-07,0.674412434058,0.241428958917,0.0717932454849,0.0120137011259,0.000351660414169,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,TCGA-B6-A0RS-01A-11R-A084-07,0.598139295378,0.294973522829,0.0610403712635,0.0447441964108,0.0010725953054,0.0,0.0,0.0,0.0,5.77284879119e-07,0.0,5.77284879119e-07,0.0,0.0,0.0,0.0,0.0,2.8864243956e-05,0.0,0.0
4,TCGA-A8-A06N-01A-11R-A00Z-07,0.620384333664,0.235352852248,0.0949191374411,0.0439653282928,0.00533713495702,0.0,0.0,0.0,0.0,3.7466724865e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.7466724865e-05,0.0,0.0
5,TCGA-AR-A2LL-01A-11R-A180-07,0.755720709161,0.17270670665,0.0585720111514,0.0127808499942,0.000218844151324,0.0,0.0,0.0,0.0,8.78892173993e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,TCGA-BH-A0HL-01A-11R-A10U-07,0.522950559876,0.322100215849,0.0848335540974,0.0669122613439,0.00318984943131,0.0,0.0,0.0,8.47462654439e-07,5.93223858108e-06,0.0,0.0,0.0,0.0,6.77970123552e-06,0.0,0.0,0.0,0.0,0.0
7,TCGA-A8-A09Q-01A-11R-A00Z-07,0.597912760729,0.200114921002,0.188497293785,0.0131031422705,0.000360470665944,0.0,0.0,0.0,0.0,6.71267534347e-07,0.0,6.71267534347e-06,0.0,0.0,0.0,0.0,0.0,2.01380260304e-06,2.01380260304e-06,0.0
8,TCGA-BH-A1FR-01A-11R-A13Q-07,0.526547723736,0.3664803634,0.0754387241931,0.0302728054282,0.00125316981139,0.0,0.0,0.0,0.0,5.24613212515e-06,0.0,1.96729954693e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,TCGA-A8-A07B-01A-11R-A00Z-07,0.583148536001,0.319957906578,0.0563109001574,0.0401782812445,0.00039479689171,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.21068059016e-06,0.0,1.36844676503e-06,0.0,0.0
10,TCGA-E9-A3QA-01A-61R-A22K-07,0.727025383077,0.128036481117,0.126328978376,0.0176454090831,0.00093898081609,0.0,0.0,0.0,0.0,1.45691360138e-05,0.0,2.91382720276e-06,0.0,0.0,5.09919760483e-06,2.18537040207e-06,0.0,0.0,0.0,0.0
11,TCGA-D8-A73U-01A-11R-A33J-07,0.570413740612,0.352425125438,0.0535968609214,0.0231745977009,0.000380807874299,0.0,0.0,0.0,0.0,7.38954477941e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.47790895588e-06,0.0
12,TCGA-A2-A0SY-01A-31R-A084-07,0.624098127795,0.30988348189,0.0469921369168,0.0187290982751,0.000293953021312,0.0,0.0,0.0,0.0,1.28084105147e-06,0.0,1.9212615772e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,TCGA-AR-A24T-01A-11R-A169-07,0.725476651803,0.208057803554,0.0486503934693,0.017373263146,0.000437781262141,0.0,0.0,0.0,0.0,8.21353212271e-07,0.0,8.21353212271e-07,0.0,0.0,0.0,1.64270642454e-06,0.0,8.21353212271e-07,0.0,0.0
14,TCGA-E2-A153-01A-12R-A12D-07,0.747652628312,0.175008877696,0.0550054173606,0.0214274609064,0.000903800863753,0.0,0.0,0.0,0.0,6.04953724065e-07,0.0,0.0,0.0,0.0,6.04953724065e-07,0.0,0.0,6.04953724065e-07,0.0,0.0
15,TCGA-E2-A15I-01A-21R-A137-07,0.566519368957,0.325077768021,0.0882266541225,0.0188507645198,0.00131761078467,0.0,0.0,0.0,1.56671912565e-06,3.13343825129e-06,0.0,7.83359562823e-07,0.0,0.0,0.0,7.83359562823e-07,0.0,0.0,1.56671912565e-06,0.0
16,TCGA-E9-A227-01A-11R-A157-07,0.580512695424,0.334025229204,0.061927500906,0.0214647223556,0.00206868501076,0.0,0.0,0.0,0.0,5.83550073556e-07,0.0,5.83550073556e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,TCGA-E2-A15T-01A-11R-A115-07,0.658871035585,0.225683004757,0.0797509884748,0.0349515763233,0.000709057914408,0.0,0.0,0.0,0.0,3.34785213825e-05,0.0,0.0,0.0,0.0,0.0,0.0,8.58423625192e-07,0.0,0.0,0.0
18,TCGA-BH-A0BR-01A-21R-A115-07,0.682641162063,0.237777677173,0.062613959427,0.0163419212567,0.000620031139342,0.0,0.0,0.0,0.0,0.0,0.0,1.31223521554e-06,0.0,0.0,6.56117607769e-07,6.56117607769e-07,1.31223521554e-06,0.0,1.31223521554e-06,0.0
19,TCGA-A8-A09D-01A-11R-A00Z-07,0.681273469135,0.241530981194,0.0589258201132,0.0177749905156,0.000486996647543,0.0,0.0,0.0,0.0,7.74239503248e-07,0.0,0.0,0.0,0.0,7.74239503248e-07,0.0,0.0,4.64543701949e-06,1.5484790065e-06,0.0
20,TCGA-A7-A0DB-11A-33R-A089-07,0.694392240759,0.225035803848,0.0713910016607,0.00898395869408,0.00019404011213,0.0,0.0,0.0,0.0,9.84975188475e-07,0.0,0.0,0.0,0.0,0.0,0.0,9.84975188475e-07,9.84975188475e-07,0.0,0.0
21,TCGA-A7-A6VY-01A-12R-A33J-07,0.78440558166,0.113897458715,0.0800152246575,0.0197773125799,0.00189839149349,0.0,0.0,0.0,0.0,4.020596174e-06,6.70099362333e-07,0.0,0.0,0.0,0.0,1.34019872467e-06,0.0,0.0,0.0,0.0
22,TCGA-A8-A09X-01A-11R-A00Z-07,0.657591693349,0.275003710851,0.0506789089393,0.016346119864,0.000371791881366,0.0,0.0,0.0,0.0,2.12048601539e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.65462937439e-06,0.0
23,TCGA-BH-A18Q-11A-34R-A12D-07,0.692210041461,0.236196309548,0.0571331544809,0.0140745931828,0.000379109463227,0.0,0.0,0.0,0.0,4.32209485763e-06,0.0,0.0,0.0,0.0,0.0,2.46976849008e-06,0.0,0.0,0.0,0.0
24,TCGA-D8-A27V-01A-12R-A17B-07,0.601413296309,0.31979463451,0.0578541657392,0.0197574900948,0.00117832658149,0.0,0.0,0.0,0.0,6.95588300761e-07,0.0,6.95588300761e-07,0.0,0.0,6.95588300761e-07,0.0,0.0,0.0,0.0,0.0
25,TCGA-OL-A6VQ-01A-12R-A41B-07,0.726955466567,0.210386419491,0.0468393463029,0.0154919311103,0.000325030802688,0.0,0.0,0.0,0.0,0.0,0.0,1.8057266816e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,TCGA-LL-A7T0-01A-31R-A352-07,0.782019605706,0.156284481804,0.0445159238939,0.0168791383794,0.000281033735758,0.0,0.0,0.0,3.60299661228e-06,9.00749153071e-07,1.80149830614e-06,0.0,0.0,0.0,1.35112372961e-05,0.0,0.0,0.0,0.0,0.0
27,TCGA-AC-A3W6-01A-12R-A22K-07,0.737960593626,0.174355765319,0.0711411722138,0.0161182843805,0.000420558951851,0.0,0.0,0.0,0.0,2.17530492337e-06,0.0,7.25101641123e-07,0.0,0.0,7.25101641123e-07,0.0,0.0,0.0,0.0,0.0
28,TCGA-A7-A13G-11A-51R-A13Q-07,0.600356468259,0.263782706555,0.123839744858,0.0117340286832,0.000287051645622,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,TCGA-BH-A0BT-11A-21R-A12P-07,0.648419276481,0.273479883345,0.0553428117243,0.022334684977,0.000418519045632,0.0,0.0,0.0,0.0,1.80916013962e-06,0.0,0.0,0.0,0.0,0.0,6.03053379873e-07,0.0,1.20610675975e-06,1.20610675975e-06,0.0
30,TCGA-BH-A0BA-01A-11R-A056-07,0.566820530676,0.355418391748,0.052912442301,0.0242016939979,0.000634875765442,0.0,0.0,0.0,0.0,4.59638563216e-06,0.0,5.7454820402e-07,0.0,0.0,0.0,0.0,0.0,0.0,6.89457844824e-06,0.0
31,TCGA-B6-A2IU-01A-32R-A18M-07,0.662289393223,0.214659200128,0.0736605925758,0.0475800617039,0.00177982716063,0.0,0.0,0.0,8.13821289728e-07,4.88292773837e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.52284599816e-05,0.0
32,TCGA-BH-A42T-01A-11R-A24H-07,0.776642801769,0.149063178969,0.052830321904,0.0209356000818,0.000522948695129,0.0,0.0,0.0,0.0,2.2065345786e-06,7.35511526201e-07,0.0,0.0,0.0,0.0,0.0,2.2065345786e-06,0.0,0.0,0.0
33,TCGA-BH-A1F2-11A-32R-A13Q-07,0.646635893481,0.253805309577,0.0790888097047,0.0201867765548,0.000282320083289,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.90599631826e-07,0.0,0.0,0.0,0.0
34,TCGA-AN-A0XT-01A-11R-A109-07,0.624003601255,0.278846200724,0.0681898329544,0.0276261455031,0.00133015677486,0.0,0.0,0.0,0.0,4.0627879501e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35,TCGA-B6-A0RP-01A-21R-A084-07,0.508181335151,0.376152676314,0.10101685454,0.0140194265602,0.000626847728049,0.0,0.0,0.0,0.0,2.85970678854e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
