Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,Topic 6,Topic 7,Topic 8,Topic 9,Topic 10,Topic 11,Topic 12,Topic 13,Topic 14,Topic 15,Topic 16,Topic 17,Topic 18,Topic 19,Topic 20
MT-ATP8,FABP1,C4BPA,PI16,AC142381.1,AL359693.1,CTAGE15,CYP11B1,FMR1NB,IL17REL,IL17F,IL21,KRTAP1-3,LCE6A,MEPE,MMP20,PNMA6B,PSG9,SCGB1C1,TTLL8
MT-ND1,ACPP,SPP1,FETUB,ABCB11,,,,,FREM3,,,,,,,,,,
MGP,ALDOB,AKR1B10,CYP4F2,BTNL3,,,,,GAGE10,,,,,,,,,,
C3,FABP4,F12,BPIFA1,PAX2,,,,,,,,,,,,,,,
ACTG2,SPINK1,SERPIND1,PAEP,RXRG,,,,,,,,,,,,,,,
APOC1,HMGCS2,SERPINA5,EEF1A2,AC011298.1,,,,,,,,,,,,,,,
S100A9,TFF1,PLIN1,HOXB13,PAQR9,,,,,,,,,,,,,,,
HP,PGA3,SERPINB3,REG1B,DYDC2,,,,,,,,,,,,,,,
RBP4,CSTA,MAL,UGT1A7,CEA,,,,,,,,,,,,,,,
FGG,PGA4,GSTA2,DUOX1,SERPINB7,,,,,,,,,,,,,,,
ORM1,PHGR1,APOF,GAST,HS3ST6,,,,,,,,,,,,,,,
APOA2,NPY,PRAC1,CTD-2545G14.7,TCF23,,,,,,,,,,,,,,,
FGA,CYP2A6,ADIPOQ,SLC22A31,TEKT1,,,,,,,,,,,,,,,
APOC3,SCGB2A2,SFTA3,ASPG,DNMT3L,,,,,,,,,,,,,,,
FGB,REG1A,GLYATL1,NTS,WFDC5,,,,,,,,,,,,,,,
SAA1,LTF,TM4SF5,TRPM8,SLC6A2,,,,,,,,,,,,,,,
APOA1,PCK1,AQP9,ALDH1A2,GAGE2D,,,,,,,,,,,,,,,
AMBP,CEACAM5,HABP2,BARX1,DEFA3,,,,,,,,,,,,,,,
TF,LIPF,AKR7A3,LYPD2,FER1L6,,,,,,,,,,,,,,,
MT1G,FBP1,UGT2B17,DNAJC12,WNT7A,,,,,,,,,,,,,,,
APOH,MUCL1,PEBP4,TMEFF2,COX7B2,,,,,,,,,,,,,,,
KRT5,SLC22A1,ZG16B,ARSE,SDR9C7,,,,,,,,,,,,,,,
CES1,PIP,HAO1,CYP2C18,TPPP2,,,,,,,,,,,,,,,
S100A8,CD36,SCUBE2,PRAME,CHRND,,,,,,,,,,,,,,,
PGC,PRAP1,LPL,PADI1,ALPPL2,,,,,,,,,,,,,,,
HBB,CYP2C9,CIDEC,AGTR1,PSAPL1,,,,,,,,,,,,,,,
ORM2,GKN1,GNMT,DHRS9,C1orf105,,,,,,,,,,,,,,,
HBA2,CYP2C8,MS4A12,DSC3,CAV3,,,,,,,,,,,,,,,
DCXR,PAH,SLCO2B1,CHIA,ARPP21,,,,,,,,,,,,,,,
FABP5,CA2,APOA4,DAO,HSD3B2,,,,,,,,,,,,,,,
HPX,IL1RN,ESR1,GP2,TRIM50,,,,,,,,,,,,,,,
TTR,UGT2B4,C19orf77,OGDHL,MAB21L3,,,,,,,,,,,,,,,
KRT6A,LBP,UPB1,DPCR1,FLG,,,,,,,,,,,,,,,
ASS1,TAT,PRG4,CYP4F11,TSPAN19,,,,,,,,,,,,,,,
APOD,PON1,MUC6,SLCO1B3,ACER1,,,,,,,,,,,,,,,
GC,MLPH,REG4,RP11-603J24.9,GSTA3,,,,,,,,,,,,,,,
SFTPB,SFTA2,GIF,DEFB4A,TBX10,,,,,,,,,,,,,,,
S100A16,SCGB1D2,FDCSP,TMSB15A,BPIFB4,,,,,,,,,,,,,,,
TFF3,TMPRSS2,AQP4,NR1I2,CYP2F1,,,,,,,,,,,,,,,
SERPINC1,CPB2,FAM83A,CAPNS2,C6orf118,,,,,,,,,,,,,,,
LCN2,ARG1,EPS8L3,GYS2,UCN3,,,,,,,,,,,,,,,
FGL1,PPP1R1B,ALOX15B,CDHR2,GABRA5,,,,,,,,,,,,,,,
A1BG,SFRP4,ANXA10,KLK5,SPINK6,,,,,,,,,,,,,,,
AHSG,OLFM4,GPT,CALCA,KRT31,,,,,,,,,,,,,,,
CRP,KLK4,CRISP3,NMU,RIPPLY1,,,,,,,,,,,,,,,
KRT14,CLDN18,CADM1,AC006538.4,AMY1B,,,,,,,,,,,,,,,
S100A2,CRNN,GOLT1A,FGF21,HIST2H3D,,,,,,,,,,,,,,,
KRT17,TFF2,CLCA2,SEPT1,CLDN19,,,,,,,,,,,,,,,
ITIH4,HPN,TGM4,KCNE4,THEM5,,,,,,,,,,,,,,,
CRYAB,CLDN3,SST,CST4,GAGE1,,,,,,,,,,,,,,,
SAA2,CA1,HNF4A,ACOT12,CASP14,,,,,,,,,,,,,,,
KRT13,SLC26A3,CXCL13,GAGE12I,FAM25B,,,,,,,,,,,,,,,
WFDC2,SLC44A4,DLK1,ANXA9,TMEM8C,,,,,,,,,,,,,,,
SFTPA2,CEACAM7,METTL7B,CITED1,GMNC,,,,,,,,,,,,,,,
HSPB6,GDF15,MYL1,SLC51B,SLIT1,,,,,,,,,,,,,,,
APCS,AGR3,PAGE4,HOXA11,SSX1,,,,,,,,,,,,,,,
PIGR,SORD,AIM1L,PLA2G1B,TMC1,,,,,,,,,,,,,,,
CSTB,GPRC5A,PVRL1,LOXL4,DPYSL5,,,,,,,,,,,,,,,
ANG,C8B,NUDT8,BCL2L15,LHX9,,,,,,,,,,,,,,,
SFTPA1,ZG16,OTC,CCL15,MEP1B,,,,,,,,,,,,,,,
SPRR3,CLCA4,TMEM40,NPTX2,POU3F3,,,,,,,,,,,,,,,
KNG1,SFRP1,PRODH,KCNE2,C10orf90,,,,,,,,,,,,,,,
PLG,GKN2,ATP4B,CLEC4G,CNTN6,,,,,,,,,,,,,,,
ITIH1,SLC45A3,CALML5,CXorf61,KHDRBS2,,,,,,,,,,,,,,,
S100A14,KRT20,PLGLB1,BBOX1,SOAT2,,,,,,,,,,,,,,,
AGT,GUCA2A,FAM25A,CORO6,MYF6,,,,,,,,,,,,,,,
SFN,REG3A,ANXA8,GREM2,KCNJ4,,,,,,,,,,,,,,,
PI3,ST6GAL1,MUC3A,FOXE1,GALR2,,,,,,,,,,,,,,,
HRG,GJB2,UGT1A6,SLC6A1,C11orf16,,,,,,,,,,,,,,,
JUP,SERPINA6,C1orf106,PADI3,NOX5,,,,,,,,,,,,,,,
APOC4-APOC2,SLC39A6,NR0B2,DEPDC7,GRM4,,,,,,,,,,,,,,,
SMTN,CTSE,LEFTY2,CACNG4,FAM196A,,,,,,,,,,,,,,,
KRT15,C10orf99,CYP4F3,ADAMTSL2,TERT,,,,,,,,,,,,,,,
AQP1,CLCA1,GJB6,ACSM1,C22orf42,,,,,,,,,,,,,,,
HBA1,KRT6C,RP11-599B13.6,STRA6,KRT75,,,,,,,,,,,,,,,
AGXT,ALDH3A1,TMPRSS11E,XDH,VCX3B,,,,,,,,,,,,,,,
GSTA1,VSIG2,TP63,LAMC3,HIST1H3J,,,,,,,,,,,,,,,
PSCA,C8G,PRR15,SLC3A1,C1QL4,,,,,,,,,,,,,,,
SPRR1B,SLC2A1,OR51E2,DLX5,C2orf50,,,,,,,,,,,,,,,
EPCAM,CRCT1,FAM189A2,CCNE1,PAX7,,,,,,,,,,,,,,,
TSPAN1,THRSP,SPRR2F,FAT2,PRH2,,,,,,,,,,,,,,,
ITM2C,SPDEF,VNN1,RPRM,SPRR4,,,,,,,,,,,,,,,
CP,FAM3D,ASPDH,CDHR1,HIST1H3C,,,,,,,,,,,,,,,
HPD,CYP4B1,C2orf54,CRHBP,MUC7,,,,,,,,,,,,,,,
CLDN4,TGM3,NKX2-1,XAGE1C,PSG4,,,,,,,,,,,,,,,
IGF2,SERPINA11,DIO1,UPK3A,MCF2,,,,,,,,,,,,,,,
SPRR2A,C11orf96,TPBG,KIAA1199,CTD-3214H19.16,,,,,,,,,,,,,,,
IGFBP3,CDC42EP5,F11,C1orf186,MAGEC1,,,,,,,,,,,,,,,
TSPAN8,KLK11,DNASE1L3,RETNLB,RP11-190A12.7,,,,,,,,,,,,,,,
SPRR1A,DPYS,MTTP,GPR87,MAGEA10,,,,,,,,,,,,,,,
EMP1,C16orf89,CCL16,TMPRSS11A,SSX4B,,,,,,,,,,,,,,,
NAPSA,SCGB2A1,HAND2,MAGEA2B,OTOS,,,,,,,,,,,,,,,
KRT7,AADAC,MYBPC1,OSCAR,GNGT1,,,,,,,,,,,,,,,
CRABP2,SPINK5,DEFA5,MYOCD,TEX101,,,,,,,,,,,,,,,
AKR1C1,SLC22A7,ADAMDEC1,LGALS9C,CLDN22,,,,,,,,,,,,,,,
TACSTD2,PCP4,CHP2,RAB26,PCDHGA8,,,,,,,,,,,,,,,
S100P,MUC5AC,TFAP2A,STX11,MAFA,,,,,,,,,,,,,,,
SCGB1A1,CLDN1,KRT23,PLA2G10,NPPB,,,,,,,,,,,,,,,
CYP3A4,KIAA1324,BNIPL,EDN3,COL19A1,,,,,,,,,,,,,,,
AGER,PITX1,CLEC3A,SOX2,DEC1,,,,,,,,,,,,,,,
TRIM29,MSLN,CKM,NAGS,SOHLH1,,,,,,,,,,,,,,,
ADH4,SLURP1,CCL28,ARL14,GHRH,,,,,,,,,,,,,,,
CFHR1,AFM,B3GNT3,MPV17L,TRIM72,,,,,,,,,,,,,,,
SCD,DMBT1,CHI3L2,TMPRSS13,BPIFA2,,,,,,,,,,,,,,,
KRT4,PLIN4,CDX1,ATP10B,RLBP1,,,,,,,,,,,,,,,
SAA4,RDH16,DDC,SULT1B1,AMY1A,,,,,,,,,,,,,,,
ITIH3,KLK10,BCAS1,RELN,RHOXF2,,,,,,,,,,,,,,,
F2,GPD1,COL4A6,CHAC1,NPBWR1,,,,,,,,,,,,,,,
ATF5,CCL18,ATP4A,TTC9,AC007919.2,,,,,,,,,,,,,,,
CLDN7,CYP8B1,EMX2,ELOVL2,MYT1,,,,,,,,,,,,,,,
HAMP,SLC13A5,SCARA5,LCN12,RP13-512J5.1,,,,,,,,,,,,,,,
MFGE8,UCHL1,RNF128,PROX1,DHRS7C,,,,,,,,,,,,,,,
AQP3,CREB3L4,TNNT3,COL2A1,MT4,,,,,,,,,,,,,,,
ACSL1,GLYAT,F2RL1,MT1B,SOST,,,,,,,,,,,,,,,
CFH,CREB3L1,GRHL1,UPK1A,VWA5B1,,,,,,,,,,,,,,,
SPON2,MUC2,MAMDC2,HHIP,SERPINA9,,,,,,,,,,,,,,,
RHCG,UGT1A4,NXPE4,DEFA1,VGLL2,,,,,,,,,,,,,,,
SCGB3A2,FGFBP1,GREB1,SPTSSB,MYPN,,,,,,,,,,,,,,,
SERPINF2,G6PC,USH1C,XAGE1B,SERPINA12,,,,,,,,,,,,,,,
FXYD1,CHRDL1,TACR2,CTB-186H2.3,DEFB103B,,,,,,,,,,,,,,,
SLC34A2,FOLH1,S100A12,LYPD1,PRB4,,,,,,,,,,,,,,,
ADH1A,NKX3-1,PTHLH,XAGE1D,CACNG7,,,,,,,,,,,,,,,
AKR1C2,MUC13,CDX2,MYL2,ARMS2,,,,,,,,,,,,,,,
HSD17B6,HGFAC,TMPRSS6,EFCAB1,NLRP7,,,,,,,,,,,,,,,
