Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,Topic 6,Topic 7,Topic 8,Topic 9,Topic 10,Topic 11,Topic 12,Topic 13,Topic 14,Topic 15,Topic 16,Topic 17,Topic 18,Topic 19,Topic 20,Topic 21,Topic 22,Topic 23,Topic 24,Topic 25,Topic 26,Topic 27,Topic 28,Topic 29,Topic 30,Topic 31,Topic 32,Topic 33,Topic 34,Topic 35,Topic 36,Topic 37,Topic 38,Topic 39,Topic 40,Topic 41,Topic 42,Topic 43,Topic 44,Topic 45,Topic 46,Topic 47,Topic 48,Topic 49,Topic 50,Topic 51,Topic 52,Topic 53,Topic 54,Topic 55,Topic 56,Topic 57,Topic 58,Topic 59,Topic 60,Topic 61,Topic 62,Topic 63,Topic 64,Topic 65,Topic 66,Topic 67,Topic 68,Topic 69,Topic 70,Topic 71,Topic 72,Topic 73,Topic 74,Topic 75,Topic 76,Topic 77,Topic 78,Topic 79,Topic 80,Topic 81,Topic 82,Topic 83,Topic 84,Topic 85,Topic 86,Topic 87,Topic 88,Topic 89,Topic 90,Topic 91,Topic 92,Topic 93,Topic 94,Topic 95,Topic 96,Topic 97,Topic 98,Topic 99,Topic 100,Topic 101,Topic 102,Topic 103,Topic 104,Topic 105,Topic 106,Topic 107,Topic 108,Topic 109,Topic 110,Topic 111,Topic 112,Topic 113,Topic 114,Topic 115,Topic 116,Topic 117,Topic 118,Topic 119,Topic 120,Topic 121,Topic 122,Topic 123,Topic 124,Topic 125,Topic 126,Topic 127,Topic 128,Topic 129,Topic 130,Topic 131,Topic 132,Topic 133,Topic 134,Topic 135,Topic 136,Topic 137,Topic 138,Topic 139,Topic 140,Topic 141,Topic 142,Topic 143,Topic 144,Topic 145,Topic 146,Topic 147,Topic 148,Topic 149,Topic 150,Topic 151,Topic 152,Topic 153,Topic 154,Topic 155,Topic 156,Topic 157,Topic 158,Topic 159,Topic 160,Topic 161,Topic 162,Topic 163,Topic 164,Topic 165,Topic 166,Topic 167,Topic 168,Topic 169,Topic 170,Topic 171,Topic 172,Topic 173,Topic 174,Topic 175,Topic 176,Topic 177,Topic 178,Topic 179,Topic 180,Topic 181,Topic 182,Topic 183,Topic 184,Topic 185,Topic 186,Topic 187,Topic 188,Topic 189,Topic 190,Topic 191,Topic 192,Topic 193,Topic 194,Topic 195,Topic 196,Topic 197,Topic 198,Topic 199,Topic 200,Topic 201,Topic 202,Topic 203,Topic 204,Topic 205,Topic 206,Topic 207,Topic 208,Topic 209,Topic 210,Topic 211,Topic 212,Topic 213,Topic 214,Topic 215,Topic 216,Topic 217,Topic 218,Topic 219,Topic 220,Topic 221,Topic 222,Topic 223,Topic 224,Topic 225,Topic 226,Topic 227,Topic 228,Topic 229,Topic 230,Topic 231,Topic 232,Topic 233,Topic 234,Topic 235,Topic 236,Topic 237,Topic 238,Topic 239,Topic 240,Topic 241,Topic 242,Topic 243,Topic 244,Topic 245,Topic 246,Topic 247,Topic 248,Topic 249,Topic 250,Topic 251,Topic 252,Topic 253,Topic 254,Topic 255,Topic 256,Topic 257,Topic 258,Topic 259,Topic 260,Topic 261,Topic 262,Topic 263,Topic 264,Topic 265,Topic 266,Topic 267,Topic 268,Topic 269,Topic 270,Topic 271,Topic 272,Topic 273,Topic 274,Topic 275,Topic 276,Topic 277,Topic 278,Topic 279,Topic 280,Topic 281,Topic 282,Topic 283,Topic 284,Topic 285,Topic 286,Topic 287,Topic 288,Topic 289,Topic 290,Topic 291,Topic 292,Topic 293,Topic 294,Topic 295,Topic 296,Topic 297,Topic 298,Topic 299,Topic 300,Topic 301,Topic 302,Topic 303,Topic 304,Topic 305,Topic 306,Topic 307,Topic 308,Topic 309,Topic 310,Topic 311,Topic 312,Topic 313,Topic 314,Topic 315
C3,CRNN,ATP4B,SLC22A1,CSF3,CHRNA2,SFRP4,XAGE1C,ABCA6,MLPH,MARCO,ABCB11,APOA2,UPK3A,C2orf50,PAH,TST,MMP7,LRRC26,KRT7,MT-ATP8,CKMT1B,AC006538.4,C11orf16,AC009065.1,AC011298.1,AP001350.1,PAPPA2,PGR,SHISA2,SPIB,AC079354.2,HMX1,WT1,AC140061.12,AC142381.1,MGP,STRA6,DCXR,TEKT1,UGT2B4,ACOT12,ACPP,SDR9C7,ATOH8,ACSM1,EHHADH,UCHL1,ACTG2,XAGE1A,CGA,GPT,CHRND,VSIG2,HAND2,MFAP5,FSCN1,CD38,ANXA9,AHSG,ADIPOQ,SLC16A11,CLDN6,SLC22A7,SFTPB,CYP2C9,LTF,ROS1,EEF1A2,SERPINE2,AIM1L,CST5,APOD,AKR1B10,EFCAB1,TM4SF5,AKR7A3,KLK4,SHBG,LHX8,AL359693.1,VCX,ALDH1A2,ORM1,CSTA,KLK10,FABP1,IGFBP3,F2RL1,UGT1A7,NDP,ALOX15B,IGF2,ALPPL2,CEACAM7,MMP13,AMY1B,EMX2,HAO1,AQP4,TGM4,UGT2B17,GOLT1A,CLCA2,SERPINB3,KRT6A,APOA1,REP15,REG4,APOF,PI3,CDH3,FBP1,ZG16,F12,ESR1,TTC9,FDCSP,KCNE2,C1orf105,ARPP21,ARSE,FAM25A,PGC,HPX,UPB1,ASPG,FOXA2,FAM83A,IRX1,IL1B,GLYATL1,NXPE4,PVRL1,B3GNT7,PEBP4,BARX1,BARX2,PRR15,CADM1,MS4A12,KLK11,BPIFA1,HIST1H3C,SLC6A1,GAGE2D,RP11-343C2.9,BTNL3,NR1I2,C10orf129,C10orf32-ASMT,DYDC2,CEACAM5,GAST,SLC51B,C14orf23,SFTA2,C19orf59,PHGR1,C1QL4,FAM83C,PAEP,PAGE2B,FLG,HIST1H2AM,IHH,C2orf54,COL4A6,C4BPA,C4orf51,RELN,RETNLB,CPB2,C8orf12,CYP4F3,FAM25B,SFTA3,LIPF,MYBPH,TMSB15A,SOX21,CALCA,CAPNS2,RGL3,CCL1,NPTX2,SLC16A6,FABP4,REG1B,CGB2,GREM2,TFF1,CHIA,CTB-186H2.3,PLIN1,RP11-603J24.9,DLK1,SLC2A1,CLDN18,CLDN19,DEFA5,KRT5,CNTN6,RLBP1,THEM5,LAMC3,DHRS9,COX7B2,DEFA1,CSMD3,GMNC,PTGER3,CST4,CTAGE15,CTD-2545G14.7,SLC5A5,CTD-3214H19.16,CTXN2,GRHL1,CXorf61,CYP11B1,CYP2A6,CYP2C18,TM4SF19,CYP4F11,CYP4F2,DAO,SLC6A2,IL36RN,DPCR1,SORD,RP11-664D7.4,DLX5,DNAJC12,PAQR9,DPYSL5,DSC3,PADI3,DUOX1,EDN3,SERPIND1,FABP12,FOXE1,FABP9,SERPINB7,HP,FER1L6,FETUB,TNMD,FGF10,FMR1NB,FREM3,IL36G,GAGE1,IL17REL,VNN3,SERPINA5,PI16,SULT1B1,GSTA2,HIST2H3D,HMGCS2,HOXA11,HOXB13,HRH3,HS3ST6,IFITM5,IL17F,IL21,IL36B,IMPG2,NOX1,KRTAP1-3,TCF23,LCE2A,LCE6A,SSX1,PRAC1,LST3,LYPD2,MAL,MC4R,MEPE,METTL11B,MMP20,MTNR1A,MUC6,SCGB2A2,NMU,MYL2,MYPN,SEPT1,RXRG,SAGE1,NTSR2,SYNPO2L,XAGE1D,PAX2,PGA3,PNMA6B,SLC22A31,SLCO2B1,PSG9,RGSL1,RP11-886H22.1,SCGB1C1,SNTG1,SPINK1,SPP1,TECTB,TMPRSS11A,TRIM50,TRIM72,TTLL8,WNT1
APOC1,KRT6C,CDX1,CYP2C8,MS4A8,DCD,SCGB2A1,XAGE1E,CXCL5,TMPRSS2,CXCL2,TBX10,APOC3,ABCC11,TEX101,LBP,ANPEP,S100A1,PI15,SPON2,MT-ND1,SCNN1B,BBOX1,AC007919.2,OFCC1,CEA,AC015688.3,PAGE1,RBM24,CLEC12A,NEURL,C11orf86,AC092291.2,C1orf194,,C6orf118,HBB,KIAA1199,ASS1,WNT7A,SERPINA11,MT1B,NPY,MAB21L3,CXCL10,MRAP,RND1,ACTC1,S100A9,ZIC1,DLX1,METTL7B,TMEM8C,CDC42EP5,ADAMDEC1,PRR15L,MMP11,VSTM2L,ADAMTSL2,APCS,OR51E2,DCDC2,C11orf88,AFM,SFTPA2,SLC13A5,PPP1R1B,SLC46A2,AGTR1,MMP1,KRT80,CYP4Z1,TFF3,,MUC16,APOA4,C19orf77,NKX3-1,SLC6A12,HIST1H3G,,DEFA1B,MAGEA2B,TF,IL1RN,FGFBP1,ALDOB,FXYD1,MLKL,PADI1,TBX4,MYBPC1,PCOLCE,UCN3,REG3A,CPLX3,TGM7,MS4A15,SLC22A10,ZCCHC12,CLEC3A,EPS8L3,PLGLB1,CALML5,CRISP3,KRT13,APOH,CAPN9,CHP2,FCN2,EMP1,GABRP,HPN,GUCA2A,AQP9,PAGE4,SPTSSB,CXCL13,LGALS9C,CAV3,POU3F3,OGDHL,TMPRSS11E,PSCA,HPD,OTC,CLEC4G,CLDN10,GJB6,TP53AIP1,ATP13A4,DIO1,CDX2,NUDT8,POU2AF1,LEFTY2,BCL2L15,IL20RB,CCL28,DDC,GIF,FAM3B,CYP24A1,SSX4B,BPIFB2,BPIFB4,RFPL2,HSD3B2,CDHR2,,,TSPAN19,CLCA4,C12orf36,CCL15,OTOG,CYP4B1,RETN,CA2,DHRS7C,C1orf177,C1orf186,CILP2,SPINK6,CHRNA1,CES3,LTB4R,SLC2A4,,,GAL3ST1,C6orf58,C8B,,PLIN5,GALR2,NKX2-1,GKN1,IGF2BP1,CACNG4,CALB1,GAGE12I,KLK5,CRYM,,CCNE1,CLPSL1,CD36,CDHR1,,MPV17L,CHGA,FXYD4,CHRNA4,CIDEC,CITED1,MYL1,PITX1,GKN2,MCF2,CTRB2,KRT14,,VWA5B1,TERT,COL2A1,CORO6,TPPP2,IYD,ZIC3,MAGEC1,KAL1,LRRC15,,TRPM8,SLC28A2,NYAP2,,S100A12,OSCAR,,TAT,,CYP2W1,SLCO1B3,SLC3A1,FGF21,DEFA3,PGLYRP4,DEFB4A,FXYD2,SPAG6,RPRM,KCNE4,DNMT3L,GNGT1,UPK1A,DSG1,NTS,TMPRSS13,F11,SMCP,GPR87,,WFDC5,FGG,PSAPL1,GYS2,FEV,MYH2,,,NGB,KCNJ4,GAGE10,TRIM55,GNMT,GP2,TMEM253,HABP2,NOX5,PCK1,MYOCD,TMEFF2,RHOXF2B,,,,,SP7,,PGA5,,LCE1A,,,SERPINA12,ZG16B,ZNF668,,TNNT3,SYT14,,,,,SST,MUCL1,MYH1,VIT,,RAB26,NLRP7,NPAP1,,SNTN,PAGE5,,PGA4,,PRAME,PRODH,,,,,,,,,,,,,
RBP4,CRCT1,ATP4A,ARG1,SMPDL3B,CDSN,AL353354.2,ABCA4,PLCXD2,CLDN3,FAH,,FGB,CHST9,DEC1,PON1,C7,FOXA1,CA3,CYSTM1,PTH,SLC38A5,CRHBP,C20ORF135,WDR38,,HMGB4,PNMA5,ZMYND10,ASCL1,SHISA3,RP11-77K12.7,,CLPSL2,,KHDRBS2,HBA2,SOX2,CP,ACER1,TTC36,ARSF,SFRP1,CTD-2105E13.6,MUC20,C14orf180,MASP1,MYLPF,S100A8,REN,RAB3B,VNN1,MYF6,CREB3L1,PPP1R14D,WISP2,CXCL1,C5orf38,LCN12,HRG,RLN1,ADRA1A,VGF,CYP8B1,SFTPA1,UGT1A4,SLC44A4,FOLR3,,CA9,GJB3,STAC2,WFDC2,,SLC7A4,MTTP,TRIM31,CPB1,CD5L,C3orf72,,BRDT,,ORM2,GJB2,SERPINB5,PRAP1,DEFB1,NTN1,LCE3D,ROPN1B,HOXB6,RBP1,HIST1H3J,MUC13,AMTN,,C20orf85,UGT3A1,ANKRD1,C1orf64,ANXA10,DNASE1L3,ANXA8,TMEM40,SPRR3,IGFBP1,SYT13,TACR2,,S100P,SYTL1,ST6GAL1,AQP8,PRG4,VTCN1,EDN2,TPBG,ARL14,PAX7,PSG4,HHIP,SPRR2F,EPCAM,ITIH3,ASPDH,RHBG,ITGAL,ATG9B,FOXN1,L1CAM,TMPRSS6,VIP,MUC3A,CYS1,FAM189A2,SLC26A9,CALB2,BCAS1,SMOC1,NXPE1,EHF,,BPIFA2,,MAGEA10,KCNC2,MEP1B,MAB21L2,,,C10orf90,C10orf99,,CPA2,POU3F2,C16orf89,RTKN2,OLFM4,SPANXC,RHAG,HIST1H3F,DLL3,KRT31,VWA5B2,GNAO1,PPP2R2C,C2orf88,,,SCTR,NKX6-2,HFE2,,SLC13A3,SPRR4,KCNQ2,TFF2,UPK2,LRP2,NOS2,PLA2G1B,FAT2,SLC4A4,,PAGE2,KHDC1L,,NKX6-1,,CHAC1,,COL20A1,,KRT23,SLC13A2,CKM,PKP3,CTSE,CLDN22,CTRB1,S100A2,,CNTNAP5,KRT75,XAGE1B,MS4A1,RIPPLY1,RBP2,,PCDHGA8,CYTL1,,,,DUSP27,,,IL1RAP,STX11,,SERPINA6,,RNF223,DEPDC7,TRIM15,UGT1A9,RP11-190A12.7,S100A7A,,DHRS2,ERBB4,SLN,LOXL4,,MYT1,RAET1E,,,PITX2,,,FABP7,,GSTA3,FGA,,,,,,,ZBED2,RHOXF2,,NECAB2,,,GPR128,NR0B2,PRH2,,PLA2G10,,,,,,,,,TAC3,,,,,SSX5,SCUBE2,,,PTHLH,,,,,,,PIP,,,,NAGS,,,,PLA2G4E,,,REG1A,,,,,,,,,,,,,,,,
SAA1,TGM3,MYO1A,C8G,SOSTDC1,CSN1S1,FAM107A,IBSP,HNF1B,GDF15,CYP3A5,,AMBP,C12orf39,AMY1A,DPYS,MT1M,AREG,ELF5,RDH11,PRH1,KLK1,ELOVL2,MSLNL,RP11-685N3.1,,,FOXG1,FREM1,ERVMER34-1,TPSG1,NKX6-3,,LRRN4,,OSTN,AQP1,KLC3,ATF5,CYP2F1,F7,IAPP,SLC45A3,ACPT,PHLDA1,,EVA1A,TNNT1,FABP5,DUSP9,NEK10,IGFALS,VGLL2,FCGBP,HHLA2,FMO2,CEACAM1,MB,SLC1A7,CYP3A4,TUSC5,SOWAHA,MATN4,G6PC,NAPSA,GCGR,AGR3,MSMP,,GREM1,RAB38,KLK14,PIGR,,AKR1B15,PKLR,GPR126,NEFH,CHST13,MYBPHL,,C20orf166,,ITIH4,ALDH3A1,CLIC3,SLC39A5,GSTM1,FUT6,SPRR2G,TUBA3D,COL11A1,FADS2,RP13-512J5.1,PRSS3,HOXC13,,AMY1C,OIT3,ITLN2,POTEM,HNF4A,RNF128,TP63,BNIPL,SPRR1B,ITIH2,APOBEC2,UGT1A10,,AQP3,LAMC2,GPD1,GUCA2B,UGT1A6,AR,PGAM2,TFAP2A,ATP10B,MAFA,,DSCR8,SERPINB4,ITM2C,HAMP,CCL16,,COX6A2,EGFL6,BNC1,GPM6A,C5orf27,LY6G6D,C1orf106,PDIA2,CHI3L2,,SOX10,SCARA5,BCO2,MUC17,LIPE,,CACNG7,,COX8C,ROPN1,,BTNL8,,,VCX3B,FAM3D,,C14orf105,TRIML2,MSLN,GABRA3,SLC26A3,RAX,NR5A1,HIST1H4F,SLC10A4,CASP14,C2CD4A,CFP,MMP10,PLP1,,,HDC,TMEM236,,,C8orf47,LCE2B,SLC7A3,CA1,MAGEB2,PVALB,WNT16,LYPD1,WFDC12,FIGF,,,CRISP2,,LGALS9B,,GFRA3,,,,HIST1H2BC,,COL9A3,SULT2B1,MUC5AC,KRT77,PNLIP,KRT17,,LGALS14,COL19A1,FITM1,NPPC,SOAT2,MAGEA6,,DPEP3,SIX2,,,,SYNGR4,,,CXCL6,VEPH1,,THRSP,,PTPRN,XDH,GPR88,,,FAM25G,,SLC7A2,DLX2,LGI2,,,FAM159B,MUC15,,,TMEM59L,,,NR0B1,,GABRA5,FMO3,,,,,,,KPRP,OTX2,,GCK,,,HIST1H2AD,MOGAT2,,,,,,,,,,,,NKX2-5,,,,,LHX3,LPL,,,,,,,,,,SCGB1D2,,,,TCL1A,,,,OBP2A,,,,,,,,,,,,,,,,,,,
MT1G,SPINK5,SLC9A3,AADAC,PIFO,ABCA12,LIMCH1,,GDA,SLC39A6,GADD45G,,TTR,XXbac-BPG181M17.5,DEFB103B,RDH16,IGLL5,STEAP4,CCK,CXCL14,AC005082.1,FOXF1,GLT1D1,AC017028.1,GAL3ST3,,,FSTL5,WNT2,HIST1H2AI,B4GALNT2,SLC9A4,,TMEM190,,SYCP1,HBA1,ACAN,ACSL1,TMC1,ACMSD,,FOLH1,,CHRDL2,,IGF1,CTHRC1,S100A16,CDH15,KCNJ3,CLDN2,U82695.9,TESC,HOXB9,STMN3,COL7A1,ERG,,ADH4,LEP,AVPR1A,RAPSN,SLC2A2,SCGB1A1,AGMO,GPRC5A,ARMC3,,MUC5B,HES2,CPNE4,TSPAN1,,STK32B,NR1H4,TRABD2A,GATA3,CYP17A1,EMR1,,SSX2B,,GSTA1,CLDN1,ALDH3B2,CDHR5,UBD,VSNL1,C1orf110,ALOX15,PLA2G4F,PHGDH,FGF3,VIL1,,,CAPSL,CLEC4M,TRH,ANKRD30B,USH1C,GRB14,,GRHL3,SPRR2A,C4BPB,KCNJ16,LEFTY1,,CEACAM6,RRAD,RAB17,MEP1A,EXOC3L4,,KRT1,ARHGEF4,GPR15,NPPB,,,PAX9,C15orf48,ADH1A,ETNPPL,,ASPHD1,EPHX3,FOXI1,MORN5,COLEC10,HEPACAM2,B3GNT3,CCRL2,GREB1,,LTB4R2,MAMDC2,C2orf82,CA7,C1orf116,,CER1,,NPHS2,NPY5R,,SLC30A10,,,,RGMA,,,PYDC2,CCL18,GABRQ,LGALS2,,ERVW-1,STATH,C22orf24,GRM4,DKK4,CDH2,DAPP1,TMPRSS3,,,C6orf223,PPY,,,SULT1E1,C8orf74,C9orf135,KRT20,TKTL1,,CXorf67,LDLRAD1,,FOXJ1,,,CD1A,,,,,,,,,,MYH7,COL17A1,DMBT1,,CLPS,KRT15,,,MT4,,,,CSAG1,,ZDHHC22,HOXB8,,,,FUT9,,,,TG,,GLYAT,,NMRK2,PROX1,,,,TGM5,,SYT7,TRDN,TPH1,,,FLJ30594,,,,,,,,,SLIT1,FCN3,,,,,,,GABRG2,LCE2C,,GDAP1L1,,,HIST1H2BF,,,,,,,,,,,,,INSL5,,,,,,RP11-599B13.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CES1,SLURP1,CARD18,HGFAC,RERGL,MUC19,ABCA3,,NKD1,C11orf96,MT1A,,GC,HUS1B,PRB4,C19orf80,PKDCC,OGN,RBFOX3,CXCL12,,GGT6,CYP4F22,,CATSPERD,,,AC016559.1,LRRN1,AREGB,ADCY1,LCN15,,AC110615.1,,,CCL21,MAGEA4,CFH,LHX9,,,ARG2,,ACSL4,,SLC22A3,MDFI,LCN2,AVP,ACVR1C,FOXA3,ADAMTS20,MUC12,CELA2A,GAS1,CTD-2228K2.5,CHGB,,CFHR2,VSTM2A,TCP10L,DUSP13,CPN2,AGER,MLIP,SPDEF,IGFN1,,FAM83D,,HRASLS5,TSPAN8,,HBG2,NEU4,CFTR,SEMG1,PZP,TNIP3,,ATP2B3,,MT1F,CCL20,KLK8,,SLC39A14,FERMT1,FAM25C,CT45A5,CWH43,MYL6B,SPANXD,GCNT3,,,FOXL2,CLEC1B,SLC26A7,TDRD1,CLRN3,SFRP5,,GJB5,SPRR1A,UGT2B7,FBP2,ERN2,,ECM1,CTXN1,GPAM,UGT2A3,TNFRSF11B,,MAGEA3,MYCL,CELA3B,SOHLH1,,,ZNF750,CXCL17,SDS,NAT2,,,GSDMC,LCE3E,GAL,HEPN1,B3GNT6,HIST1H2BG,CXCR6,OLR1,,SLC39A2,C9orf152,RTN4RL2,BEST2,RAP1GAP,,HIST1H3I,,,GRIN3A,,GCG,,,,ST6GALNAC1,,,,TREM1,LGI3,MYO7B,,KRT34,C1orf68,RPL3L,C22orf42,PCSK1,TMEM92,ESPL1,,,,PSPN,CGB,,,,,SP9,CLCA1,CTRC,,SELV,,,PNMAL1,,,PYDC1,,,,,,,,,,CSRP3,ZNF185,,,DEFA6,CRABP2,,,SERPINA9,,,,CTNNA2,,SBK2,HOXC10,,,,MLNR,,,,,,CYP2A7,,FAM19A4,,,,,DEFB4B,,GFRA1,PTCHD2,SRL,,,FLG2,,,,,,,,,FAM196A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A1BG,KRT78,CHST5,NR1I3,KCNJ15,GLRA3,NPY1R,,SHD,PLIN4,GPC3,,SERPINC1,C8orf22,MATN1,AFP,PLAC8,VSIG4,ATP6V1B1,POSTN,,FAM83E,C1orf168,,DAW1,,,,C11orf53,MYOM3,GALNT8,TRPM6,,DEFB126,,,CCL14,CCL26,SLC27A5,OTOS,,,NTRK2,,DERL3,,GHR,ACTA1,CRYAB,ACTL6B,CALCB,SGK2,POU4F3,ATP2A3,SMPX,KCNN4,ISG20,TRPS1,,C9,LMAN1L,,ASIC2,SLC10A1,SCGB3A2,,PCP4,FAM216B,,TRNP1,,AK5,SMIM22,,C5orf46,TMEM82,XPNPEP2,SEMG2,ANGPTL6,FAM92B,,H2AFB2,,CPS1,CDA,TNS4,,GGH,DPEP1,ALOX12B,DNAI2,IGSF1,MFAP2,,AMN,,,,SLC17A3,,,PTPRH,ANXA13,,ANXA8L1,KRT4,TM4SF4,SCG3,MYOC,,DSP,DUOXA1,MARC1,,,,RDH12,CCDC74A,HBE1,ARMS2,,,CERS3,TPSAB1,FTCD,TTPA,,,SLC4A11,SPINK8,CCL13,CLDN14,RNF186,BAIAP2L2,HIST1H4E,CLIC5,,LY6G6C,HMCN2,NRG1,,SH3BP1,,SPANXB2,,,SLC45A2,,FAM151A,,,,JPH2,,,,UPK3B,RSPO1,C1QL1,,LBX1,KRTAP11-1,SLC38A8,MUC7,PNLDC1,HK3,HCAR3,,,,,,,,,,LECT1,MUC2,REG3G,,,,,NRXN2,,,PTPRQ,,,,,,,,,,MYH6,TMPRSS4,,,,TACSTD2,,,TUBA3C,,,,,,CST11,PRPH,,,,CTD-2545M3.6,,,,,,PGLYRP2,,MAEL,,,,,DEFB103A,,NAT1,NHLH2,INSM1,,,DSCAM,,,,,,,,,TPTE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SAA2,A2ML1,PDZD3,HAL,HIGD1B,ATP13A5,TMEM100,,IL1RL1,CREB3L4,SERPINE1,,FGL1,,DMRT1,INHBE,SULT1A1,LAMA3,NUDT10,SFRP2,,KCNH2,,,CCDC33,,,,KIF1A,HIST1H2BO,ADCYAP1R1,HAND1,,FAM81B,,,CCL2,,PTGR1,NPBWR1,,,EGR2,,REC8,,EDNRB,CRLF1,HSPB6,,SYT4,GATA4,ADAM18,MISP,MT3,PRR4,ADM,ENPP5,,SULT2A1,,,MYOZ2,HAO2,SLC34A2,,KIAA1324,ZBBX,,TNFRSF6B,,CHRM1,HOPX,,PLA2G2D,PDX1,SLC22A18AS,CIDEA,DBH,MAGEC2,,LRRC38,,G0S2,FGFR3,KLK6,,RGN,OASL,,,,ISYNA1,,DUOX2,,,,MROH2A,,,ENTPD8,FAM65C,,WNT7B,RHCG,SERPINA4,,PYY,,CAV2,CCDC64B,DPP4,,,,CTAG2,RASD2,IGFL3,CLLU1OS,,,KRT24,SMOC2,MT1H,SLC28A1,,,ULBP2,PLA2G4D,GPR110,LPA,B3GALT5,HIST2H4B,,KCNG1,,,PLEKHS1,,,PRKAR2B,,CXorf48,,,SEZ6L,,,,,,,,,,WIF1,OMG,,,TAAR1,,,GHRH,,SALL1,CD300LF,,,,,,,,,,,SPINK4,VCX3A,,,,,VMO1,,,DDN,,,,,,,,,,,EVPL,,,,TRIM29,,,KRTAP3-3,,,,,,,NPTX1,,,,EIF4E1B,,,,,,PDZK1,,,,,,,USH1G,,SKAP1,PAPL,NKX2-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANG,DSG3,BEST4,UGT1A1,ADRA2C,SLC30A8,AFF3,,HRASLS2,ALDH1A3,ACSL5,,CRP,,VAX1,SLC25A18,CAPS,RAB11FIP1,ABCC8,MIEN1,,CXCL3,,,DMRT3,,,,RASGRF1,CRYBA2,AC025262.1,CLC,,PNOC,,,CD52,,C2,PSG5,,,,,SLC17A9,,SLC1A1,TUBB3,CSTB,,SPINK13,ACY3,ADAD1,WNK2,SYCN,TMC5,TMEM45B,SERPINI1,,APOB,,,TMEM213,CYP4A22,SCGB3A1,,CHRDL1,BRINP2,,CYP2S1,,GLYATL2,GSTM3,,GRPR,FCAMR,,AL022328.1,SLC6A13,PRL,,ASB11,,LRG1,,TMEM79,,ANGPTL4,SAMD9,,,,HMGB3,,POF1B,,,,MPPED1,,,MAGEB17,OXER1,,KRT81,SPRR2D,,,FA2H,,LYNX1,ITGB6,RORC,,,,ARC,PLCH2,,LHX1,,,ENDOU,HSPB7,HPR,CNDP1,,,TMEM154,ATP12A,FGFBP2,IGSF23,TUBAL3,,,LDB3,,,ODAM,,,BHLHE41,,RNF17,,,SLC5A8,,,,,,,,,,LMO3,LRRTM1,,,FAM9C,,,SOST,,C2CD4B,CXCR2,,,,,,,,,,,LYPD8,PPP1R27,,,,,CCDC74B,,,,,,,,,,,,,,FUT3,,,,KRT16,,,,,,,,,,CST2,,,,,,,,,,UGT2B11,,,,,,,KRTAP3-2,,,,SLC18A1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AGT,IVL,A4GNT,ACSM5,ITGA8,DNAH8,NELL2,,NPW,BASP1,PON3,,KNG1,,ABCC12,ABCC2,ENPP2,HIST2H2BE,VGLL1,ERBB2,,FAM101A,,,CHRNA9,,,,CLSTN2,AC018867.2,,TMEM189-UBE2V1,,EPYC,,,FOSB,,ACAT1,,,,,,GNLY,,INHBB,CRABP1,S100A14,,,AGMAT,,AOC1,HIST1H1D,TTC39A,PLAU,TIMP4,,AL590714.1,,,CTAG1B,PRODH2,SFTPD,,CA4,CTAG1A,,SLCO4A1,,SPINK2,MAL2,,MYL7,AKR1CL1,,KCNIP2,SLC1A2,HIST2H3C,,SYNPR,,HGD,,KLK12,,ALDOC,INHBA,,,,IL6ST,,DUOXA2,,,,OXT,,,,SCGN,,ZNF812,SPRR2E,,,PDE4C,,MALL,FAM46B,AQP7,,,,GFAP,,,ZNF560,,,EPGN,FLNC,ASGR1,CCL25,,,SPAG17,,CCL4L1,ATP2B2,FAM177B,,,BAI2,,,,,,MMP19,,LCE5A,,,GRIK1,,,,,,,,,,NDNF,LRRC36,,,,,,,,TMED6,KLHDC7B,,,,,,,,,,,ITLN1,CACNA1S,,,,,CCL23,,,,,,,,,,,,,,RHOV,,,,LY6D,,,,,,,,,,RUNDC3A,,,,,,,,,,,,,,,,,KRT79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
